trial_number,value,state,duration,lr,batch_size,latent_dim,poly_order
0,0.004050902822861831,COMPLETE,0:00:22.365410,0.023313049475721007,81,2,2
1,0.02257929274264105,COMPLETE,0:00:23.446808,1.2452148862537042e-05,150,2,3
2,0.004547956278943496,COMPLETE,0:00:57.932404,0.08207292141945356,146,2,3
3,0.0038811029628278678,COMPLETE,0:00:18.924598,0.012088229846601888,205,3,2
4,0.004388537971082462,COMPLETE,0:00:32.572840,0.00011551527185743035,141,2,3
5,0.015793975235268026,COMPLETE,0:00:21.994935,2.8746401713273678e-05,138,2,2
6,0.02073346419563563,COMPLETE,0:00:29.324308,1.4867348263491125e-05,135,2,2
7,1.1520889775235181,PRUNED,0:00:34.143468,7.009900476550938e-06,14,2,2
8,0.0046966808212069834,COMPLETE,0:00:33.010509,0.00030396350633521337,78,2,3
9,0.004865365582011529,COMPLETE,0:00:31.146157,0.0003307992465759188,154,2,3
10,1.813367252108417,PRUNED,0:00:07.453463,4.48582516572072e-06,239,2,2
11,0.9682507185432,PRUNED,0:00:09.689337,3.951858733203492e-05,154,2,3
12,0.8796969711780548,PRUNED,0:00:06.975088,0.00010632328700750156,172,3,3
13,1.7079691259066263,PRUNED,0:00:03.953780,2.5707942786549475e-05,63,3,3
14,0.005075883059895379,COMPLETE,0:00:20.257095,0.014951411586719546,251,3,2
15,1.820393101278558,PRUNED,0:00:00.714279,2.8070502261649823e-05,114,2,3
16,0.005542006177474083,COMPLETE,0:00:29.773403,0.0001694110242235907,159,2,3
17,0.003914034445678601,COMPLETE,0:00:19.313056,0.005991447511927122,231,3,2
18,0.006203593723499009,COMPLETE,0:00:17.568207,0.026478637658877997,223,3,2
19,0.0037369217431476058,COMPLETE,0:00:16.838158,0.029967441875757526,224,3,2
20,0.003466704728716019,COMPLETE,0:00:25.570688,0.018310105241390512,84,3,2
21,0.00603109797245513,COMPLETE,0:00:27.298561,0.02383679728069041,209,3,2
22,0.003039503738664231,COMPLETE,0:00:19.206603,0.003323114414764755,198,3,2
23,0.0038922022841436053,COMPLETE,0:00:19.937695,0.002767828109987689,200,3,2
24,0.004293853751932909,COMPLETE,0:00:20.505306,0.00336232379065933,205,3,2
25,0.0028521835742247852,COMPLETE,0:00:19.563927,0.002887276893427153,195,3,2
26,1.1555300733695428,PRUNED,0:00:00.558703,0.0028153277809549264,198,3,2
27,1.2759591328336837,PRUNED,0:00:00.540134,0.001820272967002583,202,3,2
28,0.003382063944299701,COMPLETE,0:00:18.490080,0.005154147605947544,211,3,2
29,0.0029036659266016645,COMPLETE,0:00:17.071461,0.004479412904932294,214,3,2
30,1.351983539222442,PRUNED,0:00:00.449850,0.0013278943360837034,196,3,2
31,1.3542993744978538,PRUNED,0:00:00.479150,0.09622250975410453,182,3,2
32,0.14085940491585505,PRUNED,0:00:01.878476,0.05639509589183391,181,3,2
33,1.56928459529219,PRUNED,0:00:00.447317,0.0007966623311107445,219,3,2
34,1.499816278850331,PRUNED,0:00:00.428990,0.0010355145582723031,223,3,2
35,1.8225648544336621,PRUNED,0:00:00.422499,1.6162038473575997e-06,251,3,2
36,0.08697408169507981,PRUNED,0:00:01.547798,0.03300132132782287,255,3,2
37,1.8219718684752781,PRUNED,0:00:00.682681,1.3066990692427089e-06,113,3,2
38,0.003423130689949413,COMPLETE,0:00:20.777498,0.013481583988629009,177,3,2
39,0.002919909362780749,COMPLETE,0:00:19.428005,0.013586326985342314,180,3,2
40,0.005793929137364875,COMPLETE,0:00:20.965217,0.009382946410353915,171,3,2
41,0.0030839363453792562,COMPLETE,0:00:23.251200,0.009459839094121115,175,3,2
42,0.003572636126931458,COMPLETE,0:00:21.293739,0.007145235921492471,102,3,2
43,0.004645899252338103,COMPLETE,0:00:31.742511,0.006094566609806049,51,3,2
44,0.002759649635279831,COMPLETE,0:00:34.229916,0.006950305397282986,44,3,2
45,0.003511402068002877,COMPLETE,0:00:18.222694,0.0062495252516426986,174,3,2
46,0.0029850447652480503,COMPLETE,0:00:18.981355,0.010401991679711549,175,3,2
47,0.0035267408890372826,COMPLETE,0:00:18.069277,0.007735984211591625,188,3,2
48,0.9887820327281952,PRUNED,0:00:00.474641,0.005032232401080983,189,3,2
49,0.0033674755248396626,COMPLETE,0:00:18.860531,0.007497034361777193,235,3,2
50,0.0032602556931120366,COMPLETE,0:00:20.408897,0.0070898536063634795,163,3,2
51,1.4869765116457354,PRUNED,0:00:00.537678,0.0007078594563372196,167,3,2
52,1.6955076515674592,PRUNED,0:00:00.468967,0.0005602804460196648,238,3,2
53,1.5456203850171037,PRUNED,0:00:00.608214,0.0005125512953262466,145,3,2
54,1.1363212366140525,PRUNED,0:00:00.607422,0.001997856895352048,145,3,2
55,1.2526043397188187,PRUNED,0:00:00.500778,0.0018187928610469606,190,3,2
56,0.004668952498301403,COMPLETE,0:00:26.938818,0.010780020552404335,126,3,2
57,1.3123365560157418,PRUNED,0:00:03.496825,0.06332705213330288,15,3,2
58,1.0629586637689825,PRUNED,0:00:00.474801,0.00412221684929778,213,3,2
59,0.0038115220189961236,COMPLETE,0:00:18.514463,0.010256492957937761,188,3,2
60,0.8554525467348687,PRUNED,0:00:00.425672,0.010056935479995567,235,3,2
61,0.13041702638833952,PRUNED,0:00:01.465151,0.04285923045205913,162,3,2
62,0.0037778185804389075,COMPLETE,0:00:16.913033,0.015417570571927178,190,3,2
63,0.1692344799972652,PRUNED,0:00:01.113386,0.01700566838416421,214,3,3
64,0.1959598115512303,PRUNED,0:00:01.315032,0.011181753457965666,135,2,3
65,0.04003364962658712,PRUNED,0:00:05.860751,0.01656913121745317,135,2,2
66,1.7696711541889432,PRUNED,0:00:00.568428,0.000267712543352919,132,2,2
67,0.9001151557763417,PRUNED,0:00:00.609344,0.0035159416143072655,126,3,2
68,0.005059752093429077,COMPLETE,0:00:46.955969,0.003848419105919933,29,3,2
69,0.003793371378182242,COMPLETE,0:00:36.122947,0.019233609928517085,48,3,2
70,0.032698777163537536,PRUNED,0:00:10.436470,0.017755254593024482,154,3,2
71,0.005239321356986882,COMPLETE,0:00:36.559304,0.020184532214097883,50,3,2
72,1.1003241035027234,PRUNED,0:00:00.544079,0.0024304721563643225,154,3,2
73,1.3392350547241443,PRUNED,0:00:00.475011,0.0013829699031674034,192,3,2
74,0.05131931639292182,PRUNED,0:00:09.357471,0.02343238792231204,29,3,2
75,1.041105568408966,PRUNED,0:00:00.472565,0.004340336067226904,202,3,2
76,0.12660821539235548,PRUNED,0:00:04.436368,0.027054655198228337,38,3,2
77,0.051560380700088684,PRUNED,0:00:06.608849,0.037864687549773964,45,3,2
78,0.0439557209610939,PRUNED,0:00:15.959279,0.020944287133213623,24,3,2
79,0.05219027130376725,PRUNED,0:00:02.568288,0.04207024404200053,181,3,2
80,1.06797770796151,PRUNED,0:00:00.547651,0.002959482882347672,164,3,2
81,0.04329976152915221,PRUNED,0:00:03.925672,0.037891925626978226,182,3,2
82,0.9791685098693484,PRUNED,0:00:00.484904,0.0049082801097583804,180,3,2
83,0.08917663479223847,PRUNED,0:00:01.532790,0.03570329493092895,170,3,2
84,1.7747877894487596,PRUNED,0:00:00.948425,9.007232906921379e-05,71,3,2
85,1.102978853952317,PRUNED,0:00:00.754782,0.0011761346548192096,90,3,2
86,0.922545841659408,PRUNED,0:00:00.447454,0.00795373351137971,228,3,2
87,1.387130041438413,PRUNED,0:00:00.453988,0.001492481962426216,229,3,2
88,0.8524396330827758,PRUNED,0:00:00.474105,0.009161377548617289,227,3,2
89,0.8654039272147677,PRUNED,0:00:00.508289,0.006770351590423586,206,3,2
90,0.8491295627368394,PRUNED,0:00:00.519612,0.006618319279838289,205,3,2
91,0.9828884748669414,PRUNED,0:00:00.435170,0.0065663728747393894,246,3,2
92,0.9188453476319368,PRUNED,0:00:00.477811,0.006407471723105206,218,3,2
93,1.090104341506958,PRUNED,0:00:00.493654,0.0035200215599934105,195,3,2
94,1.2176139760263187,PRUNED,0:00:00.492350,0.0021691390613760952,196,3,2
95,1.2063261786687005,PRUNED,0:00:00.500918,0.0022605465471462307,195,3,2
96,1.205701661478613,PRUNED,0:00:00.481715,0.0022669551608030586,196,3,2
97,1.1640410636543135,PRUNED,0:00:00.545339,0.0022811576895606506,174,3,2
98,0.004161149275226038,COMPLETE,0:00:17.885267,0.012412131100409257,214,3,2
99,0.00540109100082275,COMPLETE,0:00:18.636619,0.013127945694019807,212,3,2
100,1.0869046847025554,PRUNED,0:00:00.448411,0.004882726019374222,243,3,2
101,1.0583556526237063,PRUNED,0:00:00.456746,0.004139447563787712,210,3,2
102,0.003322199211663693,COMPLETE,0:00:16.284481,0.013482708332715457,216,3,2
103,0.7723189938342434,PRUNED,0:00:00.471283,0.011715907036639812,219,3,2
104,0.06020720118359357,PRUNED,0:00:02.223095,0.020174219487650975,159,3,2
105,0.038999347649153,PRUNED,0:00:05.304447,0.014468170733158512,184,3,2
106,1.365784726743623,PRUNED,0:00:00.563516,0.0009042299940785139,149,3,2
107,0.15397071767607073,PRUNED,0:00:23.728482,0.013104784795447669,4,3,2
108,0.03347346286668822,PRUNED,0:00:08.454414,0.014414909011705777,175,3,2
109,0.806386297683657,PRUNED,0:00:00.381707,0.013001822783586907,235,3,2
110,0.829256704875401,PRUNED,0:00:00.444473,0.0087613584401325,208,3,2
111,0.8212304961808184,PRUNED,0:00:00.498840,0.00943696060900025,201,3,2
112,0.9652427532029956,PRUNED,0:00:00.466747,0.005303251238949843,214,3,2
113,1.175817959010601,PRUNED,0:00:00.539689,0.0033221025300792127,216,3,3
114,1.162931043993343,PRUNED,0:00:00.593644,0.00351927288109908,215,3,3
115,0.9082070949830507,PRUNED,0:00:00.673723,0.005203600713969125,166,3,3
116,1.216044738542202,PRUNED,0:00:00.538784,0.0029465180252874704,222,3,3
117,0.9813789643090347,PRUNED,0:00:00.571702,0.00399148177213843,163,3,2
118,0.7383818396350794,PRUNED,0:00:00.592616,0.007792140411248123,166,3,2
119,0.778893772408227,PRUNED,0:00:00.525916,0.007971724686289892,177,3,2
120,0.7697001396162996,PRUNED,0:00:00.494392,0.008124207116761588,185,3,2
121,0.13656356171877296,PRUNED,0:00:01.013057,0.02496393231181099,176,3,2
122,0.739561826404598,PRUNED,0:00:00.500801,0.007808649570344465,175,3,2
