trial_number,value,state,duration,lr,batch_size,layer1_size,layer2_size,layer3_size,w_dx,w_dz
0,0.02319354727510163,COMPLETE,0:00:06.945757,4.729857463459729e-06,113,80,52,101,0.28300280049130005,1.2410620516824447
1,0.006396530389123429,COMPLETE,0:00:07.030918,0.00040981474523962087,128,46,152,168,1.5298485988036337,1.4515474218266122
2,0.005842101748425592,COMPLETE,0:00:05.860348,0.0010554103831938028,180,79,24,106,0.4131989184359024,1.44850865159225
3,0.004798425992731523,COMPLETE,0:00:12.205528,0.0013730424680069256,37,120,78,21,0.9461543525891036,0.4274159398334441
4,0.0050091429520627015,COMPLETE,0:00:06.845482,0.0028478676105527993,131,127,81,61,1.3944820628843062,1.0403649254395904
5,0.00523647876619495,COMPLETE,0:00:06.449625,0.022539421182146524,172,162,41,90,0.9064575032138332,1.1265705735094775
6,0.023200079176698918,COMPLETE,0:00:06.415560,1.4614215153848769e-06,208,68,151,151,0.8914531092702475,1.4011010571952556
7,2.546992726510934,PRUNED,0:00:07.030818,1.6995545734575412e-05,5,46,149,91,0.6843419396054217,1.2052579064910454
8,1.790282458589788,PRUNED,0:00:01.113563,0.005747895343555739,52,31,147,154,1.127386236478017,1.6189060982410732
9,4.425534725189209,PRUNED,0:00:00.479492,0.00018826743905770048,252,30,72,31,1.443485479008701,1.5843820052804667
10,3.548408955100953,PRUNED,0:00:00.636153,1.1094892998891393e-05,47,48,38,36,0.8241748164588887,1.4231864633586433
11,0.005143210437822863,COMPLETE,0:00:05.443332,0.012387193810141764,176,84,78,52,1.2837223437630165,0.9482288190625241
12,5.039865753867409,PRUNED,0:00:00.230297,4.8424055195212234e-05,91,66,33,139,1.714729627942992,1.0882309445029312
13,5.020793802597943,PRUNED,0:00:00.223123,8.166077124193026e-06,118,132,42,134,1.7065641792171709,0.9885335562573537
14,3.7375059223175047,PRUNED,0:00:00.436220,2.5599218390376282e-05,34,46,110,165,0.9695173037957839,1.2154363470256195
15,3.4749794483184813,PRUNED,0:00:00.190004,8.659332658019725e-06,242,96,125,50,0.7152892879693329,1.8834096040690491
16,2.697690818044874,PRUNED,0:00:00.606401,0.09732901879726301,66,134,110,36,1.256677306599236,0.49863651362228023
17,3.3774553812467136,PRUNED,0:00:00.284785,0.07900405916771219,76,135,106,32,1.857481581551373,0.4367188431491291
18,2.540764515740531,PRUNED,0:00:00.582678,0.08289688687422472,174,159,96,69,1.189651170128254,0.6164983794170824
19,2.4985795838492257,PRUNED,0:00:00.474749,0.0801787431888459,170,175,86,64,1.1689308033739387,0.5818913045835152
20,2.5769675338969513,PRUNED,0:00:00.508798,0.07352050384726243,175,175,87,69,1.2355680339888573,0.5574694082158627
21,2.570462029320853,PRUNED,0:00:00.489589,0.09303770336232497,174,176,76,71,1.2351783768259326,0.6504028332962442
22,0.0055709730451954185,COMPLETE,0:00:05.858134,0.019351484759942198,166,179,73,72,1.2473686697276094,0.7882941361272684
23,0.005778111322164607,COMPLETE,0:00:05.686997,0.009305157422523323,160,174,66,72,1.3240955853886043,0.8069239739855498
24,0.005557447571914099,COMPLETE,0:00:05.883010,0.005346647929622854,157,157,60,77,0.5718484407252123,0.8145581813218257
25,0.005681915147979842,COMPLETE,0:00:05.865250,0.01015849494284749,153,155,62,82,0.4968195473481949,0.826793741853673
26,0.0053463187707309115,COMPLETE,0:00:06.006011,0.009624031022634396,146,114,61,86,0.5706341747743298,0.15660807787959763
27,0.005873731164792338,COMPLETE,0:00:05.811174,0.011440273916010393,145,118,54,119,0.49068387419279647,0.8098571554129987
28,0.005637665341507434,COMPLETE,0:00:05.546383,0.007197616457046103,143,112,59,22,0.6362532244784653,0.1424406240785226
29,3.5533730745315553,PRUNED,0:00:00.191715,0.0038170483363901215,150,114,56,22,1.390918787388858,0.1899061912273201
30,4.160074760173929,PRUNED,0:00:00.161495,0.0036066587134334256,209,111,68,54,1.5462284722143553,0.8772802392711562
31,0.9350224032998085,PRUNED,0:00:01.406196,0.013892718103178192,149,116,177,47,0.5426113743293813,0.8090351802111593
32,3.6315343096142723,PRUNED,0:00:00.175326,0.0008395481321980752,143,118,177,49,1.0795541848814276,0.16580510850961278
33,3.268283247947693,PRUNED,0:00:00.219818,0.0011887878137770978,97,100,91,47,1.0161755006453597,0.29404202644108934
34,1.5539682964483896,PRUNED,0:00:00.584187,0.0015388640152209723,100,98,90,23,0.55150750505641,0.37078882921434364
35,2.213200807571411,PRUNED,0:00:00.344576,0.00010149451782155433,202,89,125,21,0.14438830563273408,0.9524518126553342
36,4.782563652311053,PRUNED,0:00:00.167132,0.00016363708769507067,213,85,50,122,1.5817021910396913,1.0340610535082595
37,2.3454132318496703,PRUNED,0:00:00.340587,0.0001710581038950526,198,88,127,110,0.2931698343363368,0.36344897442777785
38,2.3082485737339145,PRUNED,0:00:00.317936,0.0301802975678394,196,93,45,100,0.9912855417453612,1.0537929177903367
39,1.915761605385811,PRUNED,0:00:00.367566,0.0272267266656215,192,143,21,100,0.8742519657694351,1.1205740744433799
40,0.5087855001713367,PRUNED,0:00:04.418453,0.025385685494638374,127,145,23,94,0.19177250236312748,1.309811913657812
41,1.7241974561772448,PRUNED,0:00:00.547697,0.02931629466246867,128,144,20,101,0.933870397268845,1.1313442322062557
42,1.6160532547079998,PRUNED,0:00:00.589757,0.026161602970282267,129,145,81,96,0.8371845411911382,1.092579129232103
43,3.272250219267242,PRUNED,0:00:00.216158,0.0005368746527780107,123,146,20,58,0.7656592492853075,1.3081816880850956
44,3.415468641355926,PRUNED,0:00:00.220489,0.00048762433671503084,118,144,79,60,0.8632632573621963,1.3236632078577673
45,3.3744320577504685,PRUNED,0:00:00.245807,0.0005187993496033446,123,146,24,94,0.8340264665440799,1.3078681847972617
46,3.2298051550033247,PRUNED,0:00:00.248705,0.0006000107058878057,128,70,80,91,0.7619838220829858,1.25442044307285
47,0.5888086140879369,PRUNED,0:00:14.889783,0.0025792525357648567,9,59,80,39,1.4334674633765783,1.301894452024164
48,3.9125494469295847,PRUNED,0:00:00.192673,0.0016502717307677003,135,72,80,88,1.404500186076587,0.11345966024169374
49,3.8113985538482664,PRUNED,0:00:00.208117,0.00213565535241217,134,68,82,87,1.4392940981533222,0.1159752117791237
50,0.5183081539384512,PRUNED,0:00:16.351875,0.0019003206463314214,9,106,34,82,1.4500199739853417,0.24460810775179917
51,0.004419781219840457,COMPLETE,0:00:47.262844,0.0026300952644912334,7,126,32,41,0.6691090495392275,0.7024273098414935
52,3.1509899442846123,PRUNED,0:00:00.213415,0.0025454017446404392,108,125,31,41,1.0502770297462227,1.5707773960278688
53,0.0051148351580402466,COMPLETE,0:00:13.017999,0.002720478741018006,31,107,32,39,0.6280573995350986,1.5292340328113825
54,0.5038836684666181,PRUNED,0:00:14.762373,0.006170151889433559,13,106,101,39,1.1181647905336156,1.5441982359723605
55,0.5294684699661634,PRUNED,0:00:15.637651,0.005707182098786236,9,107,103,79,1.1382526587726347,0.7048217318666186
56,1.979221947026293,PRUNED,0:00:04.192311,0.04081459163203287,5,107,102,80,1.1283766946691944,0.7038937683585419
57,1.9476727057386327,PRUNED,0:00:01.181977,0.04888999441149906,22,106,100,109,1.113437160923892,0.9254946599200919
