trial_number,value,state,duration,lr,batch_size,layer1_size,layer2_size,layer3_size,w_dx,w_dz
0,0.009856314359621445,COMPLETE,0:00:06.839872,0.00018872650441492311,151,39,179,99,0.8091635186941831,0.49725776509460584
1,0.005439797931528036,COMPLETE,0:00:08.905675,0.0008756167176732868,71,93,82,136,0.4980684795437706,1.5433728923328933
2,0.005594540157495132,COMPLETE,0:00:06.258922,0.0027826588248429356,174,145,69,71,0.9202928763351882,1.8740756432771075
3,0.01300854527504166,COMPLETE,0:00:06.101347,0.000157270904320854,155,29,48,92,0.8796165255156314,1.764376486155455
4,0.02323123522088405,COMPLETE,0:00:06.311497,2.591150417394106e-06,212,158,169,112,0.6160325559894212,0.22903321408933344
5,0.012540193657265941,COMPLETE,0:00:06.573959,0.00012381627911466168,137,134,64,52,1.0802151621263125,1.7792177959970932
6,0.005881235314831097,COMPLETE,0:00:12.473781,0.00018862226222175787,40,49,145,113,1.5518309841170894,1.5529819629619035
7,3.4335269027286106,PRUNED,0:00:06.976684,2.141821427219156e-05,33,161,143,83,1.4851220145524746,1.6395899386253137
8,5.152966036941066,PRUNED,0:00:00.745033,3.999523708472077e-06,180,177,83,49,1.6855066147539464,1.7817858800427138
9,1.9052687287330627,PRUNED,0:00:02.809820,3.9078379053241866e-05,230,97,180,43,0.11649142522057687,0.21945190037677131
10,0.005594017061406435,COMPLETE,0:00:08.763179,0.0008551362090589011,54,23,44,53,1.586749877173992,1.2794752240988436
11,0.005817965700761218,COMPLETE,0:00:07.840217,0.0028236613344093087,78,34,154,171,0.9316549345064549,0.24879691812440027
12,5.302392641703288,PRUNED,0:00:00.186802,4.165940627325573e-05,132,20,111,165,1.7823468167194478,1.7198787410719285
13,3.46594906770266,PRUNED,0:00:00.155022,3.8828656646562825e-06,231,165,80,60,0.8357015831036193,0.8919622212467081
14,0.005329277220934239,COMPLETE,0:00:05.056626,0.0018225538443201786,203,20,92,83,0.6214988297808629,0.5205752684560712
15,4.089322454789105,PRUNED,0:00:00.179433,0.0026076003975083572,179,97,143,171,1.5557253626712388,0.22183602399004357
16,0.008145117444741112,COMPLETE,0:00:05.127732,0.0002897567243833988,194,24,174,80,0.14889956319947767,1.572455407309427
17,1.3640018542607626,PRUNED,0:00:05.155120,0.07599475103084871,66,97,31,22,0.17078781253778053,1.2791062809416711
18,1.294133109431113,PRUNED,0:00:03.882612,0.0924444099643168,64,100,20,132,0.10398142103400487,1.3037329209334534
19,0.8552018263760734,PRUNED,0:00:05.535132,0.09754230304024167,70,68,37,133,0.279662874689944,1.3419146296992932
20,1.4592634037137031,PRUNED,0:00:02.267002,0.055797764088469134,75,60,26,131,0.25402493997771664,1.2868804019659257
21,1.6523260101675987,PRUNED,0:00:02.206742,0.05282374428348231,75,63,32,130,0.42452051196157975,1.242104395789695
22,0.005295337371475222,COMPLETE,0:00:07.584255,0.0026320895598297375,89,60,111,134,0.4204924629346297,0.7714648826675286
23,0.005104167083879057,COMPLETE,0:00:08.607136,0.003925623954165495,91,65,110,144,0.49122007916301763,0.8371530134818587
24,0.005545725196601108,COMPLETE,0:00:08.004139,0.002746812507808907,95,66,112,139,0.5309063514426805,0.7060212277883675
25,0.004801259064546003,COMPLETE,0:00:49.025055,0.0014000687072530929,7,71,108,146,0.4627138617913844,0.7150502824006567
26,0.005991143629363082,COMPLETE,0:00:08.084867,0.001916021212071154,107,75,109,154,0.5133288507894624,0.7370315339307308
27,2.0469266657243694,PRUNED,0:00:00.786838,0.010570226793988337,105,77,113,151,1.2214241424949632,0.7925814950311165
