trial_number,value,state,duration,lr,batch_size,latent_dim,poly_order,lambda1_metaweight
0,0.006538347035266246,COMPLETE,0:00:08.038243,0.01432961438010341,177,1,3,0.723092573370457
1,0.02249387411103385,COMPLETE,0:00:09.931496,2.048384009717859e-05,180,4,2,0.5248742544598803
2,0.023376848932392058,COMPLETE,0:00:06.922249,4.444191910840236e-06,208,2,2,1.3758806767365552
3,1.771507948386569,PRUNED,0:00:09.974807,2.1775059718877575e-06,54,2,2,1.04012415074045
4,0.02304956639514266,COMPLETE,0:00:07.697462,1.0754898192559656e-05,155,2,2,1.088788183990535
5,0.007865118073906167,COMPLETE,0:00:07.813730,0.0002894655145935851,139,1,2,0.6113136707565876
6,0.005963727047235035,COMPLETE,0:00:11.924671,0.0044958923338777775,132,2,3,1.490800184166532
7,0.005267687457273238,COMPLETE,0:00:12.874449,0.0009330395393487577,71,3,2,1.3248218662345328
8,0.0054238595268895585,COMPLETE,0:00:06.005309,0.002156774483030397,243,2,2,1.3822407373171157
9,1.7755689024925232,PRUNED,0:00:02.238235,1.1836434315767737e-05,154,4,3,0.7957210573571946
10,1.7813759975406636,PRUNED,0:00:03.042803,1.401688591213109e-06,6,1,3,1.3855260459580792
11,0.004989011167528853,COMPLETE,0:00:30.455338,0.0012960756178295972,18,2,2,0.722668869374474
12,0.005327115837841778,COMPLETE,0:00:15.310516,0.0006678800615939402,197,3,3,1.18137732159949
13,0.7720562955912422,PRUNED,0:00:02.987689,0.0002707064524802369,76,1,2,0.9731300754103656
14,0.005495704340405849,COMPLETE,0:00:14.299333,0.008886414059446159,59,3,2,1.2521255008613952
15,2.07807144412288,PRUNED,0:00:00.369432,0.07333084120608872,119,4,3,0.8565062060107209
16,0.005473606965536983,COMPLETE,0:00:09.450282,0.004515535937456902,220,2,3,0.5251502978987274
17,0.004792757701111741,COMPLETE,0:00:12.695969,0.00276876072041882,239,3,3,1.4916209614633422
18,1.763255509046408,PRUNED,0:00:00.165723,0.0007046427879559738,254,3,2,1.2544938217769448
19,1.7649926176437964,PRUNED,0:00:00.179473,0.0007144053631208501,251,3,2,1.2162165962585931
20,0.005775103221952169,COMPLETE,0:00:06.939375,0.0027378266175193565,254,3,2,1.2099052409594804
21,0.004857038638315875,COMPLETE,0:00:10.597887,0.001780283632865527,84,3,2,1.203380357282212
22,0.004741872630748597,COMPLETE,0:00:10.425231,0.003912665748893668,91,3,2,1.211755417821453
23,1.7775860077714267,PRUNED,0:00:00.293203,6.943782397653572e-05,89,3,2,1.4585299141493429
24,0.45695307767668436,PRUNED,0:00:03.814664,0.014712994279094905,30,3,2,1.3215005045652362
25,1.1641451716423035,PRUNED,0:00:01.970690,0.03988238195693067,30,3,2,1.3363244645129153
26,1.7742748381435007,PRUNED,0:00:00.272305,0.00011550960454599202,94,3,2,1.1302909258173401
27,0.25628636497208196,PRUNED,0:00:09.643526,0.001523969120303472,55,2,2,0.9458994373588812
28,0.0051188122530975155,COMPLETE,0:00:13.496296,0.002155937595106549,61,3,2,1.306961135982656
29,0.005612833202151509,COMPLETE,0:00:18.731851,0.012998538217440373,68,4,2,1.277629221748238
30,1.6159057718212322,PRUNED,0:00:00.268362,0.0012642087745419603,109,4,2,1.1641905123964507
31,1.667654420200147,PRUNED,0:00:00.271470,0.001083701091056653,113,4,2,1.1484084842710118
32,1.6437635296269466,PRUNED,0:00:00.369717,0.0006262181259691519,68,4,2,0.9759443494017597
33,1.777753617275845,PRUNED,0:00:00.340384,5.370469006673123e-05,73,3,2,1.000890544497756
34,0.49823042111737387,PRUNED,0:00:02.173316,0.02105443063729197,93,3,3,1.053579556380033
35,1.1598055855433147,PRUNED,0:00:02.066256,0.0365198951632317,43,3,3,0.9063736087133123
36,0.2880782261490822,PRUNED,0:00:04.607509,0.016670225024631516,183,3,3,0.8594394567836698
37,0.49021428645546755,PRUNED,0:00:01.857462,0.016618223297279994,96,2,3,0.8903976725569085
38,0.46710592806339263,PRUNED,0:00:02.127494,0.012695168182067253,92,3,3,1.4414569802244375
39,0.010181914651469297,COMPLETE,0:00:35.703319,0.007179714944743246,92,3,3,1.4418598957579478
40,0.005528419815755982,COMPLETE,0:00:08.827897,0.00756760710640657,163,3,2,1.4357036556556702
41,0.46441271430567693,PRUNED,0:00:01.127696,0.005351044559202729,172,4,2,1.3041052270912794
