aCO,U,flux_C2H4,flux_CH4,flux_H2
0.000000000000000000e+00,-8.000000000000000444e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.309291244964305414e-07
9.999999999999999547e-07,-8.000000000000000444e-01,6.875946620334795422e-14,1.228928209476847820e-16,2.309060338930412396e-07
1.501310728908174203e-06,-8.000000000000000444e-01,1.032241501051142626e-13,1.844910627844152177e-16,2.308944600634166459e-07
2.253933904734788681e-06,-8.000000000000000444e-01,1.549598631474643653e-13,2.769575706062103800e-16,2.308770863271606039e-07
3.383855153428233349e-06,-8.000000000000000444e-01,2.326166271693172980e-13,4.157524060415311914e-16,2.308510078591686853e-07
5.080218046913022430e-06,-8.000000000000000444e-01,3.491706261188384914e-13,6.240677190382849959e-16,2.308118670351951551e-07
7.626985859023451423e-06,-8.000000000000000444e-01,5.240802039241440573e-13,9.366811323491631493e-16,2.307531294109362805e-07
1.145047569938281224e-05,-8.000000000000000444e-01,7.865067420898858573e-13,1.405712370482203935e-15,2.306650020963103081e-07
1.719072201858574747e-05,-8.000000000000000444e-01,1.180114370326019592e-12,2.109201714588118489e-15,2.305328219306335668e-07
2.580861540418076793e-05,-8.000000000000000444e-01,1.770195447950198852e-12,3.163845274539930393e-15,2.303346626242384756e-07
3.874675120456128150e-05,-8.000000000000000444e-01,2.654188233419518659e-12,4.743793070854217200e-15,2.300378027453686727e-07
5.817091329374357686e-05,-8.000000000000000444e-01,3.977065970758857425e-12,7.108153731097474595e-15,2.295935578020599369e-07
8.733261623828436962e-05,-8.000000000000000444e-01,5.953550653644744160e-12,1.064069683609194058e-14,2.289298204806767266e-07
1.311133937421564226e-04,-8.000000000000000444e-01,8.899504076309924636e-12,1.590595770099061744e-14,2.279405189947554548e-07
1.968419447286613299e-04,-8.000000000000000444e-01,1.327479683812679463e-11,2.372585654054096134e-14,2.264712209409220173e-07
2.955209235202887964e-04,-8.000000000000000444e-01,1.973857669779980317e-11,3.527847881644468112e-14,2.243005732413880093e-07
4.436687330978615856e-04,-8.000000000000000444e-01,2.921337001504126682e-11,5.221264283698183378e-14,2.211187757847725191e-07
6.660846290809161038e-04,-8.000000000000000444e-01,4.294378405673674079e-11,7.675281755813898750e-14,2.165078681888626912e-07
1.000000000000000021e-03,-8.000000000000000444e-01,6.251485649997115980e-11,1.117319183907086851e-13,2.099355677240277745e-07
1.501310728908174328e-03,-8.000000000000000444e-01,8.976337540209939623e-11,1.604328106376848791e-13,2.007850495822164078e-07
2.253933904734791056e-03,-8.000000000000000444e-01,1.264857402376866693e-10,2.260661736595700775e-13,1.884530521314481349e-07
3.383855153428236544e-03,-8.000000000000000444e-01,1.738627163840571395e-10,3.107423727065479512e-13,1.725430541866546908e-07
5.080218046913023006e-03,-8.000000000000000444e-01,2.316597885545676141e-10,4.140422619253667204e-13,1.531338099873845020e-07
7.626985859023451518e-03,-8.000000000000000444e-01,2.975437339935739807e-10,5.317957053017000934e-13,1.310088555941147148e-07
1.145047569938283452e-02,-8.000000000000000444e-01,3.670815233931209668e-10,6.560796122840997470e-13,1.076568779792024592e-07
1.719072201858574608e-02,-8.000000000000000444e-01,4.347597211015682604e-10,7.770398973516013650e-13,8.492938302211427532e-08
2.580861540418076527e-02,-8.000000000000000444e-01,4.956248816852123894e-10,8.858233375754822140e-13,6.448982232065552546e-08
3.874675120456136379e-02,-8.000000000000000444e-01,5.465948570298240765e-10,9.769212532458671806e-13,4.737323386482870738e-08
5.817091329374357578e-02,-8.000000000000000444e-01,5.867899861480703723e-10,1.048761438727952738e-12,3.387502284168812071e-08
8.733261623828436626e-02,-8.000000000000000444e-01,6.170125494614565230e-10,1.102777798466231060e-12,2.372576978009945017e-08
1.311133937421565809e-01,-8.000000000000000444e-01,6.389321562906420200e-10,1.141954401573303898e-12,1.636479134775725209e-08
1.968419447286615387e-01,-8.000000000000000444e-01,6.544175814259120079e-10,1.169631282787295042e-12,1.116452104525351331e-08
2.955209235202888030e-01,-8.000000000000000444e-01,6.651555220872219501e-10,1.188823052181411915e-12,7.558537131781582506e-09
4.436687330978615895e-01,-8.000000000000000444e-01,6.725055899955367272e-10,1.201959724545018455e-12,5.090258764793835921e-09
6.660846290809168124e-01,-8.000000000000000444e-01,6.774921590286737671e-10,1.210872148814285765e-12,3.415683696438420717e-09
1.000000000000000000e+00,-8.000000000000000444e-01,6.808548727719632576e-10,1.216882279502767824e-12,2.286426975212185683e-09
0.000000000000000000e+00,-9.200000000000000400e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.290280613908551747e-07
9.999999999999999547e-07,-9.200000000000000400e-01,3.608141290179564805e-13,1.947718124064991535e-15,5.289751638744676489e-07
1.501310728908174203e-06,-9.200000000000000400e-01,5.416669714050532910e-13,2.923983548772036226e-15,5.289486497625620617e-07
2.253933904734788681e-06,-9.200000000000000400e-01,8.131492453554229615e-13,4.389477560258479082e-15,5.289088488321654472e-07
3.383855153428233349e-06,-9.200000000000000400e-01,1.220651793295993640e-12,6.589225392713823535e-15,5.288491065134089705e-07
5.080218046913022430e-06,-9.200000000000000400e-01,1.832266919715977991e-12,9.890797506651799167e-15,5.287594400658653463e-07
7.626985859023451423e-06,-9.200000000000000400e-01,2.750101953310915286e-12,1.484538155994338460e-14,5.286248799424501979e-07
1.145047569938281224e-05,-9.200000000000000400e-01,4.127180747370244823e-12,2.227901874248685630e-14,5.284229919280484327e-07
1.719072201858574747e-05,-9.200000000000000400e-01,6.192630079638755044e-12,3.342856299605211331e-14,5.281201846621618913e-07
2.580861540418076793e-05,-9.200000000000000400e-01,9.289070494741608813e-12,5.014352128495829225e-14,5.276662279170465047e-07
3.874675120456128150e-05,-9.200000000000000400e-01,1.392780759610292921e-11,7.518398283696284496e-14,5.269861612231391632e-07
5.817091329374357686e-05,-9.200000000000000400e-01,2.086958601514623747e-11,1.126565387948283427e-13,5.259684548526075302e-07
8.733261623828436962e-05,-9.200000000000000400e-01,3.124115576037616341e-11,1.686435214076492292e-13,5.244479204931159928e-07
1.311133937421564226e-04,-9.200000000000000400e-01,4.669999622290798710e-11,2.520922040516817956e-13,5.221815617201838136e-07
1.968419447286613299e-04,-9.200000000000000400e-01,6.965927054863940645e-11,3.760291320243157415e-13,5.188155943363822354e-07
