Dr. Melissa Lane has graciously allowed these calcite emissivity measurements for distribution with this journal article and their general distribution for these analyses.
Copyright:  These calcite measurements provided in this CSV file are copyright to her, 1999, and are displayed in Figure 3(c) from her journal article that should be attributed in any derivative works.
Journal article:  Lane, Melissa D.  Midinfrared optical constants of calcite and their relationship to particle size effects in thermal emission spectra of granular calcite.  Journal of Geophysical Research, 1999, 104, no. E6, 14099–14108.
For complete data of these calcite emissivity measurements, please write to Dr. Melissa Lane at <lane@fibergyro.com>. These measurements have been reduced from their full size and values in the following ways:
(1) Our subset of the entire data is the 8.5 to 12.5 um range. (2) All wavelengths are rounded to 3 decimals. (3) All emissivities are rounded to 4 decimals.
 Wvl ,63-90,90-125,125-180,180-250,250-355
8.499,0.9467,0.955,0.9644,0.9647,0.9663
8.513,0.9449,0.9539,0.9649,0.9642,0.9672
8.527,0.9453,0.9521,0.9617,0.961,0.968
8.541,0.9453,0.9535,0.9602,0.9611,0.9688
8.555,0.9449,0.9534,0.9608,0.9624,0.9687
8.569,0.9473,0.9541,0.9629,0.965,0.9693
8.583,0.9453,0.9537,0.9606,0.9639,0.9662
8.597,0.946,0.9557,0.963,0.9652,0.9676
8.612,0.9478,0.9556,0.9659,0.9672,0.9695
8.626,0.946,0.9531,0.9632,0.9653,0.9684
8.64,0.9428,0.9499,0.9626,0.966,0.9677
8.655,0.9378,0.9475,0.9607,0.9649,0.9672
8.669,0.9335,0.9489,0.9587,0.9656,0.9686
8.684,0.931,0.9488,0.9585,0.9682,0.9719
8.698,0.9252,0.9421,0.9537,0.9633,0.969
8.713,0.9205,0.9367,0.9505,0.959,0.9673
8.728,0.9166,0.9337,0.9489,0.9572,0.9668
8.742,0.911,0.9283,0.9462,0.9556,0.9632
8.757,0.9089,0.9271,0.9457,0.9569,0.9639
8.772,0.9057,0.9253,0.9445,0.9551,0.966
8.787,0.9031,0.9223,0.9426,0.9545,0.966
8.802,0.8977,0.9181,0.9387,0.9541,0.9656
8.817,0.8919,0.9126,0.9341,0.9523,0.9631
8.832,0.891,0.9107,0.9354,0.9535,0.9618
8.847,0.8906,0.9112,0.9359,0.9541,0.9624
8.862,0.8881,0.91,0.9351,0.9529,0.9624
8.877,0.8861,0.9087,0.935,0.9516,0.9637
8.892,0.8814,0.9057,0.9331,0.9504,0.9638
8.908,0.8767,0.9021,0.9291,0.9486,0.9619
8.923,0.8747,0.9015,0.9268,0.948,0.9626
8.938,0.8765,0.9037,0.9297,0.9491,0.9663
8.954,0.8745,0.902,0.927,0.9492,0.967
8.969,0.8712,0.898,0.9251,0.9469,0.964
8.985,0.868,0.8947,0.9247,0.9446,0.9604
9,0.8654,0.8932,0.921,0.9429,0.9599
9.016,0.8627,0.8906,0.9171,0.9413,0.9577
9.032,0.8589,0.8883,0.9161,0.9392,0.9543
9.047,0.8588,0.8875,0.9172,0.9389,0.9545
9.063,0.8608,0.8872,0.9172,0.939,0.9565
9.079,0.8608,0.8882,0.9166,0.9417,0.9567
9.095,0.8591,0.8872,0.9156,0.9403,0.9552
9.111,0.8579,0.8866,0.9149,0.9388,0.9561
9.127,0.8588,0.8864,0.9174,0.939,0.9576
9.143,0.8581,0.886,0.9171,0.9388,0.9549
9.159,0.8569,0.8856,0.9155,0.9368,0.9534
9.176,0.8612,0.8895,0.9192,0.94,0.9572
9.192,0.8688,0.8953,0.9239,0.9443,0.9598
9.208,0.8737,0.8988,0.9262,0.9464,0.9613
9.225,0.8778,0.9028,0.9289,0.9478,0.9626
9.241,0.8747,0.9009,0.9275,0.9469,0.9617
9.257,0.8655,0.8938,0.9236,0.9435,0.9606
9.274,0.8626,0.8906,0.9201,0.9425,0.9619
9.291,0.8609,0.8878,0.9184,0.9411,0.9586
9.307,0.8598,0.8883,0.9196,0.9407,0.9577
