Reference,Set,SetID,Mineral,Mineral_formula,Mineral_source,Temp,Electrolyte1,Electrolyte1_val,Electrolyte1_SD,Electrolyte1_units,Electrolyte2,Electrolyte2_val,Electrolyte2_SD,Electrolyte2_units,Electrolyte3,Electrolyte3_val,Electrolyte3_SD,Electrolyte3_units,Electrolyte4,Electrolyte4_val,Electrolyte4_SD,Electrolyte4_units,Electrolyte5,Electrolyte5_val,Electrolyte5_SD,Electrolyte5_units,Electrolyte6,Electrolyte6_val,Electrolyte6_SD,Electrolyte6_units,Electrolyte7,Electrolyte7_val,Electrolyte7_SD,Electrolyte7_units,pH,pH_SD,Sorbate,Sorbate_val,Sorbate_SD,Sorbate_units,Aq_val,Aq_SD,Aq_units,Sorbed_val,Sorbed_SD,Sorbed_units,SurfCharge_val,SurfCharge_SD,SurfCharge_units,Mineral_val,Mineral_SD,Mineral_units,MineralSA,MineralSA_SD,MineralSA_units,Mineralsites,Mineralsites_SD,Mineralsites_units,CEC,CEC_SD,CEC_units,Gas1,Gas1_val,Gas1_SD,Gas1_units,Gas2,Gas2_val,Gas2_SD,Gas2_units,Gas3,Gas3_val,Gas3_SD,Gas3_units,X_axis,X_val,X_SD,X_units,Y_axis,Y_val,Y_SD,Y_units
afpmagl10,afpmagl10_f1a,1,ferrihydrite,Fe(OH)3,synthetic,NA,K(+1),0.01,5.00E-04,mol/L,N(+5),0.01,5.00E-04,mol/L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.4116,0.1,H(+1),NA,NA,NA,NA,NA,mol/L,NA,NA,NA,1.21837,0.121837,mol/L,10,1,g/L,350,35,m2/g,6.53,0.653,sites/nm2,NA,NA,NA,N2(g),1,0.1,bar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
afpmagl10,afpmagl10_f1a,2,ferrihydrite,Fe(OH)3,synthetic,NA,K(+1),0.01,5.00E-04,mol/L,N(+5),0.01,5.00E-04,mol/L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.6052,0.1,H(+1),NA,NA,NA,NA,NA,mol/L,NA,NA,NA,1.13327,0.113327,mol/L,10,1,g/L,350,35,m2/g,6.53,0.653,sites/nm2,NA,NA,NA,N2(g),1,0.1,bar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
afpmagl10,afpmagl10_f1a,3,ferrihydrite,Fe(OH)3,synthetic,NA,K(+1),0.01,5.00E-04,mol/L,N(+5),0.01,5.00E-04,mol/L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.7006,0.1,H(+1),NA,NA,NA,NA,NA,mol/L,NA,NA,NA,1.06591,0.106591,mol/L,10,1,g/L,350,35,m2/g,6.53,0.653,sites/nm2,NA,NA,NA,N2(g),1,0.1,bar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
afpmagl10,afpmagl10_f1a,4,ferrihydrite,Fe(OH)3,synthetic,NA,K(+1),0.01,5.00E-04,mol/L,N(+5),0.01,5.00E-04,mol/L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.8942,0.1,H(+1),NA,NA,NA,NA,NA,mol/L,NA,NA,NA,0.973732,0.0973732,mol/L,10,1,g/L,350,35,m2/g,6.53,0.653,sites/nm2,NA,NA,NA,N2(g),1,0.1,bar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
afpmagl10,afpmagl10_f1a,5,ferrihydrite,Fe(OH)3,synthetic,NA,K(+1),0.01,5.00E-04,mol/L,N(+5),0.01,5.00E-04,mol/L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.9948,0.1,H(+1),NA,NA,NA,NA,NA,mol/L,NA,NA,NA,0.931181,0.0931181,mol/L,10,1,g/L,350,35,m2/g,6.53,0.653,sites/nm2,NA,NA,NA,N2(g),1,0.1,bar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
afpmagl10,afpmagl10_f1a,6,ferrihydrite,Fe(OH)3,synthetic,NA,K(+1),0.01,5.00E-04,mol/L,N(+5),0.01,5.00E-04,mol/L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.0929,0.1,H(+1),NA,NA,NA,NA,NA,mol/L,NA,NA,NA,0.883298,0.0883298,mol/L,10,1,g/L,350,35,m2/g,6.53,0.653,sites/nm2,NA,NA,NA,N2(g),1,0.1,bar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
afpmagl10,afpmagl10_f1a,7,ferrihydrite,Fe(OH)3,synthetic,NA,K(+1),0.01,5.00E-04,mol/L,N(+5),0.01,5.00E-04,mol/L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.2219,0.1,H(+1),NA,NA,NA,NA,NA,mol/L,NA,NA,NA,0.819454,0.0819454,mol/L,10,1,g/L,350,35,m2/g,6.53,0.653,sites/nm2,NA,NA,NA,N2(g),1,0.1,bar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
afpmagl10,afpmagl10_f1a,8,ferrihydrite,Fe(OH)3,synthetic,NA,K(+1),0.01,5.00E-04,mol/L,N(+5),0.01,5.00E-04,mol/L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.32,0.1,H(+1),NA,NA,NA,NA,NA,mol/L,NA,NA,NA,0.773384,0.0773384,mol/L,10,1,g/L,350,35,m2/g,6.53,0.653,sites/nm2,NA,NA,NA,N2(g),1,0.1,bar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
afpmagl10,afpmagl10_f1a,9,ferrihydrite,Fe(OH)3,synthetic,NA,K(+1),0.01,5.00E-04,mol/L,N(+5),0.01,5.00E-04,mol/L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.4516,0.1,H(+1),NA,NA,NA,NA,NA,mol/L,NA,NA,NA,0.729056,0.0729056,mol/L,10,1,g/L,350,35,m2/g,6.53,0.653,sites/nm2,NA,NA,NA,N2(g),1,0.1,bar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
afpmagl10,afpmagl10_f1a,10,ferrihydrite,Fe(OH)3,synthetic,NA,K(+1),0.01,5.00E-04,mol/L,N(+5),0.01,5.00E-04,mol/L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.5832,0.1,H(+1),NA,NA,NA,NA,NA,mol/L,NA,NA,NA,0.665212,0.0665212,mol/L,10,1,g/L,350,35,m2/g,6.53,0.653,sites/nm2,NA,NA,NA,N2(g),1,0.1,bar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
