CAD,mean,su
-360,0.221745693,0.030757198
-359.75,0.22206414,0.030974948
-359.5,0.222403789,0.030990593
-359.25,0.222722013,0.030979866
-359,0.222990232,0.030994145
-358.75,0.223201891,0.030920497
-358.5,0.223371456,0.03091354
-358.25,0.223524987,0.030912974
-358,0.223686308,0.030907126
-357.75,0.223864744,0.030921528
-357.5,0.224049746,0.030905572
-357.25,0.224214889,0.030914512
-357,0.224329543,0.030913388
-356.75,0.224373084,0.030922111
-356.5,0.224345127,0.030913806
-356.25,0.224266903,0.030914499
-356,0.224172798,0.030913371
-355.75,0.224095629,0.030907839
-355.5,0.224052265,0.030913754
-355.25,0.224036148,0.030921285
-355,0.224020058,0.030907418
-354.75,0.223967614,0.030913959
-354.5,0.223847958,0.030913721
-354.25,0.223646867,0.030921531
-354,0.223369855,0.030921067
-353.75,0.223037106,0.030902018
-353.5,0.222674054,0.030905776
-353.25,0.222302813,0.030927785
-353,0.221938016,0.030896092
-352.75,0.221587131,0.030916848
-352.5,0.221252541,0.030902633
-352.25,0.220932136,0.030916018
-352,0.220617307,0.030903302
-351.75,0.22029025,0.030920651
-351.5,0.219924255,0.030922603
-351.25,0.219489695,0.030922142
-351,0.218965063,0.03091472
-350.75,0.218348698,0.030903225
-350.5,0.217665138,0.030907888
-350.25,0.216961696,0.030914098
-350,0.216295222,0.03089691
-349.75,0.215713795,0.03090528
-349.5,0.215240719,0.030900257
-349.25,0.214867258,0.03090047
-349,0.214556584,0.030906987
-348.75,0.214256589,0.030898622
-348.5,0.213916011,0.03090008
-348.25,0.213498083,0.030891527
-348,0.212988211,0.030898566
-347.75,0.212395346,0.030896636
-347.5,0.211748745,0.030896441
-347.25,0.211092057,0.030896483
-347,0.210475515,0.030903465
-346.75,0.209946209,0.030892948
-346.5,0.209536901,0.030893745
-346.25,0.20925568,0.030892988
-346,0.209080509,0.030893978
-345.75,0.208962598,0.030897673
-345.5,0.208839838,0.03089424
-345.25,0.208657012,0.030898353
-345,0.208385543,0.030892612
-344.75,0.208034438,0.03088638
-344.5,0.207646991,0.030897608
-344.25,0.207283648,0.030892599
-344,0.206997611,0.030897106
-343.75,0.206813212,0.030876359
-343.5,0.206716167,0.030904235
-343.25,0.206659759,0.030889547
-343,0.206584224,0.030888877
-342.75,0.206441013,0.030882513
-342.5,0.206211847,0.030895282
-342.25,0.205915017,0.03088909
-342,0.205597035,0.030895471
-341.75,0.205313803,0.030874124
-341.5,0.20510927,0.030887633
-341.25,0.204999722,0.030895498
-341,0.204968764,0.030888628
-340.75,0.204973569,0.030880906
-340.5,0.204959114,0.030892721
-340.25,0.204875369,0.030879916
-340,0.204692523,0.030885921
-339.75,0.204410599,0.030886751
-339.5,0.204061151,0.030885013
-339.25,0.203700075,0.030891383
-339,0.203392319,0.030886971
-338.75,0.203191772,0.030897448
-338.5,0.203122389,0.030882893
-338.25,0.203167832,0.030908179
-338,0.203275163,0.030899111
-337.75,0.203372982,0.030920787
-337.5,0.203397835,0.030904346
-337.25,0.20331814,0.030867553
-337,0.203145164,0.030913791
-336.75,0.202926357,0.030901537
-336.5,0.202724671,0.030872388
-336.25,0.202594066,0.030889478
-336,0.202562292,0.030884764
-335.75,0.202627073,0.030894679
-335.5,0.202763967,0.030880141
-335.25,0.202938459,0.030894046
-335,0.203114545,0.030882929
-334.75,0.203256929,0.030897792
-334.5,0.203330285,0.03087582
-334.25,0.203302058,0.030907323
-334,0.203152637,0.030888616
-333.75,0.202890041,0.03088864
-333.5,0.202560149,0.030894407
-333.25,0.202242724,0.030878455
-333,0.202029521,0.030892491
-332.75,0.201990647,0.03087073
-332.5,0.202143356,0.030892036
-332.25,0.202438445,0.03087769
-332,0.202772334,0.030892468
-331.75,0.203021179,0.030885891
-331.5,0.203083379,0.030886159
-331.25,0.202913564,0.030884114
-331,0.202535939,0.030876033
-330.75,0.20203431,0.030888234
-330.5,0.201525133,0.030883993
-330.25,0.201124336,0.030884679
-330,0.200917902,0.030881737
-329.75,0.200942417,0.030883028
-329.5,0.201178133,0.030888059
-329.25,0.201554902,0.030881945
-329,0.201970044,0.030882265
-328.75,0.202315253,0.030878802
-328.5,0.202506454,0.030883644
-328.25,0.202507799,0.030878358
-328,0.20234103,0.03088427
-327.75,0.20207573,0.030882651
-327.5,0.201803353,0.030882323
-327.25,0.201604872,0.030890301
-327,0.201524615,0.030884165
-326.75,0.20155995,0.030875316
-326.5,0.201669191,0.03088986
-326.25,0.201792441,0.030880522
-326,0.201875554,0.030883596
-325.75,0.201887805,0.030876943
-325.5,0.20182813,0.030889164
-325.25,0.201720241,0.030877366
-325,0.201600864,0.030889575
-324.75,0.201506516,0.030869396
-324.5,0.201463073,0.03089663
-324.25,0.201480208,0.030881762
-324,0.2015509,0.030889283
-323.75,0.201655107,0.030876236
-323.5,0.201766148,0.030878088
-323.25,0.201858032,0.03089027
-323,0.201911809,0.030883195
-322.75,0.201919196,0.030883296
-322.5,0.201882721,0.030889173
-322.25,0.201812962,0.030881483
-322,0.201724688,0.03088267
-321.75,0.201633938,0.030881693
-321.5,0.201557033,0.030882077
-321.25,0.201510894,0.030883668
-321,0.201512816,0.030881837
-320.75,0.201578038,0.030880908
-320.5,0.20171499,0.030882379
-320.25,0.201920023,0.030882724
-320,0.202174516,0.030876082
-319.75,0.202446686,0.030883209
-319.5,0.202698467,0.030892582
-319.25,0.20289563,0.030876548
-319,0.203017866,0.030883571
-318.75,0.20306548,0.030890162
-318.5,0.203060361,0.030883226
-318.25,0.20304048,0.030877889
-318,0.203048923,0.030883305
-317.75,0.203120212,0.030891075
-317.5,0.203268084,0.030877741
-317.25,0.203479339,0.030890873
-317,0.203717073,0.030877877
-316.75,0.203933389,0.030879132
-316.5,0.204087436,0.030893251
-316.25,0.204161522,0.030885966
-316,0.204168028,0.030884692
-315.75,0.204143523,0.030885682
-315.5,0.204132406,0.030893522
-315.25,0.204167557,0.030878138
-315,0.204256946,0.030892238
-314.75,0.20438217,0.030886791
-314.5,0.204508898,0.030880413
-314.25,0.204603467,0.030891733
-314,0.204647438,0.030878805
-313.75,0.204643748,0.03089437
-313.5,0.204612907,0.03088011
-313.25,0.204582708,0.030886557
-313,0.204577455,0.03089446
-312.75,0.204611751,0.030886812
-312.5,0.204690414,0.030879124
-312.25,0.20481227,0.030885928
-312,0.204973731,0.030894145
-311.75,0.205169021,0.030886371
-311.5,0.205386955,0.030886947
-311.25,0.205607308,0.030880046
-311,0.205800888,0.030894683
-310.75,0.205935706,0.030873543
-310.5,0.205987947,0.030900946
-310.25,0.205952932,0.030882864
-310,0.205850265,0.030888354
-309.75,0.205719615,0.030888177
-309.5,0.205608112,0.030887552
-309.25,0.205554564,0.030888377
-309,0.205577349,0.030886733
-308.75,0.205670881,0.030888034
-308.5,0.205811333,0.030897363
-308.25,0.205967995,0.03088012
-308,0.206114696,0.030894835
-307.75,0.206236664,0.030887669
-307.5,0.20633123,0.030876547
-307.25,0.206403905,0.030894933
-307,0.206463,0.030887458
-306.75,0.206515643,0.030888474
-306.5,0.206566374,0.030888423
-306.25,0.206617712,0.030888287
-306,0.206671149,0.030888992
-305.75,0.206727211,0.030883594
