user_id,process_sequence
user_0,"[[16.03175219059731, ""process_47""], [15.268642747188796, ""process_26""], [8.30966758213753, ""process_49""], [31.88086611586045, ""process_16""], [25.30286031601238, ""process_8""], [33.17364861152258, ""process_35""]]"
user_0,"[[16.111294816876303, ""process_5""], [9.496040580933226, ""process_13""], [14.216476225024621, ""process_5""], [36.601049833282495, ""process_6""], [40.38207838602822, ""process_35""], [10.796098432983479, ""process_14""], [15.31041882250998, ""process_16""]]"
user_0,"[[14.099651147002815, ""process_28""], [30.90026465182134, ""process_16""], [29.4317083229057, ""process_22""], [26.16134301727831, ""process_31""], [39.43523304192309, ""process_5""], [17.93837538444676, ""process_19""]]"
user_0,"[[11.642859125642342, ""process_11""], [17.763565710615975, ""process_26""], [10.76177293822126, ""process_1""], [15.201738279697892, ""process_19""], [12.395130717990343, ""process_28""], [14.52599265523817, ""process_29""]]"
user_0,"[[41.51333438268455, ""process_31""], [18.570123278084804, ""process_14""], [11.507976910287393, ""process_19""], [15.041890997710542, ""process_26""], [37.57785079835407, ""process_37""], [42.15514627899935, ""process_35""], [17.605114300480878, ""process_15""]]"
user_0,"[[40.239758988727125, ""process_41""], [17.186451813804005, ""process_44""], [9.654287036568089, ""process_33""], [39.422411508881304, ""process_9""], [15.915402665361814, ""process_26""], [11.450888409773587, ""process_8""], [39.3706777040115, ""process_9""], [18.197001341847926, ""process_25""]]"
user_0,"[[13.631594474494873, ""process_7""], [16.72840947669972, ""process_36""], [11.273543283832456, ""process_3""], [16.503432382227146, ""process_26""], [10.157302843046534, ""process_34""]]"
user_0,"[[13.1512955284269, ""process_45""], [30.574847112510906, ""process_43""], [30.88343535093977, ""process_16""], [20.35738531902069, ""process_49""], [28.991608542930855, ""process_1""]]"
user_0,"[[36.61429574536305, ""process_38""], [39.03192135056956, ""process_14""], [18.11714736700461, ""process_36""], [36.8342597169151, ""process_38""], [38.79775980471556, ""process_33""], [14.291266674362175, ""process_26""], [10.156802623378661, ""process_32""], [40.92778183250855, ""process_4""]]"
user_0,"[[13.07456543799734, ""process_22""], [16.744295041426227, ""process_5""], [36.01061538671095, ""process_25""], [39.0250093185988, ""process_4""], [16.05594788369595, ""process_26""]]"
user_0,"[[17.979233733928258, ""process_19""], [34.79862837732532, ""process_46""], [40.53717656282345, ""process_23""], [17.224697995255475, ""process_5""], [9.019581058603148, ""process_27""], [29.492922867290904, ""process_17""], [29.17630438059808, ""process_12""]]"
user_0,"[[16.058258862137908, ""process_19""], [8.897762761158205, ""process_21""], [17.0122155317481, ""process_47""], [38.191338175805804, ""process_37""], [39.22396319073319, ""process_4""], [16.087246665310566, ""process_19""], [8.560728255922713, ""process_44""], [16.610354780908356, ""process_26""]]"
user_0,"[[34.87419169682538, ""process_27""], [40.59098206945887, ""process_45""], [15.687630666963239, ""process_19""], [9.258483318478227, ""process_32""], [16.180693640612265, ""process_24""]]"
user_0,"[[33.65091388605084, ""process_23""], [40.78605163971246, ""process_23""], [15.092192842957605, ""process_26""], [11.280330881017491, ""process_1""], [39.73874008654519, ""process_9""], [16.338436442911625, ""process_36""]]"
user_0,"[[12.623351331109408, ""process_28""], [20.85283264208475, ""process_42""], [22.81357929261708, ""process_33""], [24.013356386517113, ""process_10""], [33.08905758138801, ""process_30""], [24.207315240278216, ""process_46""]]"
user_0,"[[16.428872693774547, ""process_5""], [10.750929927292725, ""process_1""], [17.00317166893732, ""process_33""], [9.108381559084958, ""process_34""], [18.47208912514952, ""process_36""]]"
user_0,"[[40.817452265468916, ""process_4""], [16.1522902260851, ""process_44""], [34.312763179947176, ""process_43""], [38.559552204437594, ""process_35""], [15.575841987754686, ""process_47""], [9.149567508273163, ""process_5""]]"
user_0,"[[16.70715543881581, ""process_33""], [36.23587732246134, ""process_38""], [36.63651369264446, ""process_38""], [39.66055934492044, ""process_23""], [16.631136899464984, ""process_36""], [36.897135487610555, ""process_25""]]"
user_0,"[[39.47559316052126, ""process_23""], [16.21850515454314, ""process_33""], [8.46432253560011, ""process_32""], [15.082866854383164, ""process_36""], [35.898138474901984, ""process_38""]]"
user_0,"[[11.989811397224349, ""process_47""], [16.734087140602117, ""process_5""], [11.536412140288498, ""process_36""], [15.307954153266358, ""process_26""], [35.25413170736285, ""process_25""], [39.25660994597213, ""process_23""], [15.879284479461948, ""process_36""], [38.31205263428995, ""process_38""]]"
user_0,"[[17.315406884681032, ""process_36""], [9.244941548160249, ""process_45""], [31.369844303579885, ""process_5""], [27.573153535380655, ""process_31""], [30.16107379836818, ""process_16""], [21.868886853574764, ""process_44""]]"
user_0,"[[39.147288845615144, ""process_11""], [14.810792041028717, ""process_19""], [8.324204148323101, ""process_31""], [40.420036775961954, ""process_23""], [11.428479868976998, ""process_8""], [42.71228753255215, ""process_42""], [16.365776802564156, ""process_37""], [8.860089971357958, ""process_29""]]"
user_0,"[[40.52294842641652, ""process_23""], [16.107508115005846, ""process_8""], [9.458675673575772, ""process_14""], [16.09018070709688, ""process_33""], [10.951407293582115, ""process_18""]]"
user_0,"[[12.022741839643537, ""process_7""], [16.80129614973953, ""process_19""], [35.715033900434875, ""process_5""], [41.8884306626722, ""process_4""], [15.119892159625966, ""process_5""], [9.627606413684543, ""process_1""], [39.662965376491115, ""process_23""]]"
user_0,"[[14.903111569208917, ""process_5""], [9.517003309623675, ""process_32""], [16.173921740198725, ""process_19""], [36.00637811481703, ""process_37""], [36.5617715690153, ""process_6""], [41.3156221050087, ""process_18""], [15.406832809104195, ""process_5""], [13.17678687234412, ""process_7""]]"
user_0,"[[39.91946740945906, ""process_49""], [20.700032692300653, ""process_46""], [34.710771025770065, ""process_2""], [22.412124016037325, ""process_46""], [33.421218429187554, ""process_30""]]"
user_0,"[[12.571105590020828, ""process_36""], [16.23523134171149, ""process_26""], [37.19616139488061, ""process_6""], [39.4043873861094, ""process_26""], [17.928370732307446, ""process_7""], [9.844303960409148, ""process_34""], [33.63541431257895, ""process_2""]]"
