user_id,failed_logins,session_time,process_id
user_0,12,457,process_39
user_0,12,491,process_12
user_0,12,564,process_33
user_0,9,463,process_30
user_1,0,992,process_22
user_1,5,743,process_5
user_1,5,785,process_5
user_2,5,799,process_40
user_2,6,732,process_5
user_2,6,762,process_3
user_2,8,748,process_29
user_3,0,1002,process_35
user_3,0,919,process_39
user_3,0,940,process_34
user_3,1,1052,process_34
user_4,11,515,process_49
user_4,12,544,process_16
user_4,12,531,process_24
user_5,0,1049,process_46
user_5,0,1001,process_4
user_5,0,988,process_31
user_6,7,693,process_37
user_6,5,799,process_49
user_6,4,782,process_48
user_6,2,693,process_25
user_7,4,733,process_32
user_7,7,759,process_16
user_7,7,735,process_21
user_7,6,736,process_17
user_8,12,524,process_22
user_8,11,513,process_39
user_8,11,531,process_21
user_9,12,443,process_34
user_9,1,992,process_8
user_9,7,770,process_5
user_9,7,752,process_5
user_10,0,996,process_34
user_10,0,1060,process_15
user_10,0,903,process_34
user_10,0,1054,process_37
user_11,0,1048,process_46
user_11,1,967,process_15
user_11,1,1028,process_34
user_12,0,976,process_7
user_12,0,1008,process_34
user_12,7,764,process_40
user_13,12,440,process_39
user_13,12,487,process_15
user_13,0,999,process_32
user_14,1,973,process_37
user_14,1,1030,process_41
user_14,0,1008,process_16
user_15,8,787,process_11
user_15,7,730,process_5
user_15,5,696,process_49
user_15,9,730,process_16
user_16,7,710,process_8
user_16,6,745,process_31
user_16,8,749,process_46
user_16,7,730,process_5
user_17,11,499,process_39
user_17,11,542,process_39
user_17,10,514,process_39
user_18,0,990,process_2
user_18,0,1049,process_34
user_18,0,1007,process_4
user_18,1,985,process_2
user_19,12,523,process_25
user_19,12,523,process_6
user_19,0,1033,process_34
user_20,1,977,process_28
user_20,0,1006,process_34
user_20,1,982,process_34
user_20,0,1003,process_40
user_21,0,1021,process_46
user_21,1,1028,process_23
user_21,2,1041,process_32
user_21,6,746,process_5
user_22,1,950,process_16
user_22,7,716,process_35
user_22,4,771,process_32
user_22,7,726,process_5
user_23,12,471,process_26
user_23,12,575,process_12
user_23,11,551,process_39
user_23,12,452,process_13
user_24,0,972,process_2
user_24,0,1014,process_16
user_24,0,1016,process_17
user_25,11,404,process_11
user_25,11,559,process_35
user_25,12,502,process_16
user_25,12,467,process_39
user_26,12,441,process_32
user_26,12,470,process_39
user_26,11,513,process_39
user_27,7,748,process_5
user_27,4,736,process_5
user_27,8,756,process_36
user_28,1,1027,process_29
user_28,0,979,process_34
user_28,0,957,process_4
user_28,1,1000,process_34
user_29,12,454,process_26
user_29,12,449,process_16
user_29,11,518,process_32
user_30,5,728,process_5
user_30,7,755,process_5
user_30,6,770,process_32
user_30,10,782,process_23
user_31,7,767,process_19
user_31,3,767,process_36
user_31,5,801,process_8
user_31,8,756,process_5
user_32,7,742,process_48
user_32,6,748,process_5
user_32,2,650,process_5
user_33,12,469,process_46
user_33,12,419,process_32
user_33,12,507,process_43
user_33,12,504,process_19
user_34,11,514,process_17
user_34,10,441,process_39
user_34,11,558,process_28
user_35,11,539,process_29
user_35,3,686,process_37
user_35,6,743,process_5
user_35,6,719,process_3
user_36,7,775,process_4
user_36,6,735,process_0
user_36,7,734,process_5
user_36,8,748,process_14
user_37,12,543,process_40
user_37,11,505,process_1
user_37,8,778,process_8
user_38,12,560,process_15
user_38,12,421,process_29
user_38,12,496,process_33
user_38,12,512,process_39
user_39,9,774,process_23
user_39,6,666,process_18
user_39,8,754,process_14
user_39,4,770,process_29
user_40,0,1022,process_46
user_40,1,1029,process_34
user_40,2,946,process_34
user_40,1,987,process_22
user_41,0,1042,process_34
user_41,5,807,process_47
user_41,6,764,process_6
user_41,5,724,process_19
user_42,2,1055,process_16
user_42,0,1013,process_34
user_42,7,662,process_34
user_42,6,749,process_31
user_43,11,482,process_21
user_43,12,488,process_34
user_43,0,993,process_6
user_44,5,732,process_3
user_44,8,776,process_49
user_44,6,790,process_25
user_45,2,733,process_38
user_45,6,715,process_26
user_45,6,768,process_21
user_45,4,732,process_13
user_46,11,503,process_39
user_46,12,458,process_39
user_46,11,479,process_25
user_46,12,419,process_39
user_47,12,539,process_39
user_47,11,513,process_39
user_47,6,728,process_3
user_48,6,747,process_24
