Algorithm,app,bwlevel,nodecount,power_cap,runtime,Thread_count,prediction,pred_runtime,Domain,node_count,config_node_count,config_runtime,pred_config_runtime
spr,CoMD,1,512,64,39.4856,16,[41.62948],41.62948,,32,22,42.1447,42.1447
pak,CoMD,1,512,64,35.8287,16,[41.095947],41.095947,,32,22,42.1447,42.1447
rand,CoMD,1,512,64,41.5681,16,[41.006287],41.006287,,32,22,42.1447,42.1447
spr,CoMD,2,512,64,38.4217,16,[41.68732],41.68732,,32,22,42.1447,42.1447
pak,CoMD,2,512,64,37.8492,16,[38.72183],38.72183,,32,22,42.1447,42.1447
rand,CoMD,2,512,64,39.5879,16,[44.0584],44.0584,,32,22,42.1447,42.1447
spr,CoMD,3,512,64,39.6499,16,[36.48783],36.48783,,32,22,39.1388,39.1388
pak,CoMD,3,512,64,36.935,16,[35.76158],35.76158,,32,22,39.1388,39.1388
rand,CoMD,3,512,64,39.3345,16,[43.165115],43.165115,,32,22,42.1447,42.1447
spr,CoMD,4,512,64,37.0282,16,[35.147156],35.147156,,32,22,38.1979,38.1979
pak,CoMD,4,512,64,36.8455,16,[34.674175],34.674175,,32,26,37.7893,37.7893
rand,CoMD,4,512,64,39.9155,16,[40.66508],40.66508,,32,22,42.1447,42.1447
spr,CoMD,5,512,64,38.6121,16,[35.12162],35.12162,,32,22,38.1979,38.1979
pak,CoMD,5,512,64,37.0098,16,[38.14566],38.14566,,32,22,40.1533,40.1533
rand,CoMD,5,512,64,38.2594,16,[40.061504],40.061504,,32,22,42.1447,42.1447
spr,CoMD,1,512,80,35.7045,16,[37.079346],37.079346,,32,22,40.1533,40.1533
pak,CoMD,1,512,80,34.0391,16,[34.079636],34.079636,,32,26,37.3701,37.3701
rand,CoMD,1,512,80,35.4028,16,[38.4032],38.4032,,32,22,42.1447,42.1447
spr,CoMD,2,512,80,34.8359,16,[36.838863],36.838863,,32,22,40.1533,40.1533
pak,CoMD,2,512,80,34.6894,16,[33.79915],33.79915,,32,26,36.0056,36.0056
rand,CoMD,2,512,80,37.3806,16,[38.414326],38.414326,,32,22,42.1447,42.1447
spr,CoMD,3,512,80,34.7461,16,[34.408943],34.408943,,32,26,37.7893,37.7893
pak,CoMD,3,512,80,33.8352,16,[33.738808],33.738808,,32,26,36.0056,36.0056
rand,CoMD,3,512,80,34.9554,16,[39.070442],39.070442,,32,22,42.1447,42.1447
spr,CoMD,4,512,80,33.9249,16,[35.63572],35.63572,,32,22,39.1388,39.1388
pak,CoMD,4,512,80,33.9109,16,[32.663025],32.663025,,32,32,33.9109,33.9109
rand,CoMD,4,512,80,33.9146,16,[36.44245],36.44245,,32,22,39.1388,39.1388
spr,CoMD,5,512,80,33.5766,16,[34.659386],34.659386,,32,26,37.7893,37.7893
pak,CoMD,5,512,80,35.3372,16,[33.52563],33.52563,,32,26,36.0056,36.0056
rand,CoMD,5,512,80,35.8816,16,[36.743454],36.743454,,32,22,40.1533,40.1533
pak,CoMD,1,512,115,34.8292,16,[35.76997],35.76997,,32,22,39.1388,39.1388
rand,CoMD,1,512,115,36.8576,16,[37.498035],37.498035,,32,22,40.1533,40.1533
spr,CoMD,2,512,115,36.0956,16,[36.145084],36.145084,,32,22,39.1388,39.1388
pak,CoMD,2,512,115,35.4795,16,[35.87583],35.87583,,32,22,39.1388,39.1388
rand,CoMD,2,512,115,36.0533,16,[37.925407],37.925407,,32,22,40.1533,40.1533
spr,CoMD,3,512,115,34.0974,16,[32.93384],32.93384,,32,26,36.0056,36.0056
pak,CoMD,3,512,115,35.8808,16,[36.43465],36.43465,,32,22,39.1388,39.1388
rand,CoMD,3,512,115,34.5862,16,[40.288357],40.288357,,32,22,42.1447,42.1447
spr,CoMD,4,512,115,35.5614,16,[29.860344],29.860344,,32,32,35.5614,35.5614
