rho0_g_cc,Us_km_s,Up_km_s,P_GPa,V_cc_g,rho_g_cc,exp
8.929,3.927,0.000,0.000,0.1120,8.929,ssp
8.920,4.314,0.210,8.081,0.1067,9.376,im1
8.925,4.215,0.211,7.938,0.1064,9.395,im1
8.900,4.217,0.223,8.369,0.1064,9.397,im1
8.928,4.341,0.281,10.891,0.1048,9.546,im1
8.925,4.352,0.282,10.953,0.1048,9.543,im1
8.920,4.321,0.286,11.023,0.1047,9.552,im1
8.920,4.350,0.289,11.214,0.1047,9.555,im1
8.925,4.378,0.301,11.761,0.1043,9.584,im1
8.930,4.303,0.302,11.605,0.1041,9.604,im1
8.930,4.316,0.312,12.025,0.1039,9.626,im1
8.925,4.512,0.395,15.906,0.1022,9.781,im1
8.928,4.501,0.398,15.994,0.1021,9.794,im1
8.930,4.477,0.406,16.232,0.1018,9.821,sp1
8.925,4.532,0.407,16.462,0.1020,9.806,im1
8.925,4.494,0.409,16.405,0.1018,9.819,im1
8.931,4.566,0.413,16.842,0.1018,9.819,sp1
8.933,4.471,0.434,17.334,0.1011,9.893,im1
8.933,4.501,0.439,17.651,0.1010,9.898,im1
8.923,4.599,0.483,19.821,0.1003,9.970,im1
8.923,4.594,0.483,19.799,0.1003,9.971,im1
8.890,4.717,0.484,20.296,0.1009,9.906,sf2
8.900,4.713,0.488,20.470,0.1007,9.928,im1
8.900,4.687,0.490,20.440,0.1006,9.939,im1
8.899,4.712,0.522,21.889,0.0999,10.008,im1
8.924,4.732,0.522,22.043,0.0997,10.030,im1
8.925,4.802,0.531,22.758,0.0997,10.035,im1
8.920,4.746,0.535,22.649,0.0995,10.053,im1
8.925,4.704,0.538,22.587,0.0992,10.078,im1
8.900,4.711,0.549,23.018,0.0993,10.074,im1
8.930,4.769,0.562,23.934,0.0988,10.123,im1
8.918,4.713,0.576,24.210,0.0984,10.160,im1
8.930,4.801,0.609,26.110,0.0978,10.227,im1
8.930,4.792,0.610,26.103,0.0977,10.233,im1
8.923,4.807,0.618,26.508,0.0977,10.239,im1
8.923,4.798,0.618,26.458,0.0976,10.242,im1
8.930,4.765,0.620,26.382,0.0974,10.266,im1
8.928,4.886,0.624,27.220,0.0977,10.235,sp1
8.930,4.910,0.637,27.930,0.0975,10.261,sp1
8.933,4.854,0.662,28.705,0.0967,10.344,im1
8.930,5.011,0.679,30.384,0.0968,10.330,im1
8.830,4.995,0.680,30.332,0.0967,10.337,im1
8.900,5.009,0.689,30.716,0.0969,10.319,im1
8.900,4.955,0.709,31.267,0.0963,10.386,im1
8.918,5.039,0.728,32.715,0.0959,10.424,im1
8.930,4.909,0.732,32.089,0.0953,10.495,sp1
8.930,5.067,0.737,33.348,0.0957,10.450,sp1
8.930,4.888,0.744,32.475,0.0949,10.533,sp1
8.924,5.061,0.749,33.828,0.0955,10.474,im1
8.930,4.939,0.757,33.388,0.0948,10.546,im1
8.933,5.067,0.786,35.577,0.0946,10.573,im1
8.925,5.077,0.787,35.661,0.0947,10.562,im1
8.925,5.066,0.788,35.629,0.0946,10.569,im1
8.933,5.195,0.800,37.126,0.0947,10.559,im1
8.933,5.180,0.807,37.342,0.0945,10.582,im1
8.930,5.055,0.816,36.835,0.0939,10.649,im1
8.930,5.055,0.816,36.835,0.0939,10.649,im1
8.921,5.239,0.832,38.885,0.0943,10.605,im1
8.918,5.238,0.832,38.865,0.0943,10.602,im1
8.933,5.222,0.832,38.811,0.0941,10.626,im1
8.930,5.185,0.846,39.172,0.0937,10.671,sp1
8.930,5.223,0.864,40.298,0.0935,10.700,im1
8.930,5.215,0.865,40.283,0.0934,10.706,im1
8.933,5.154,0.868,39.963,0.0931,10.742,im1
8.897,5.318,0.870,41.163,0.0940,10.637,sf2
8.933,5.326,0.940,44.723,0.0922,10.848,im1
8.930,5.329,0.942,44.828,0.0922,10.847,im1
8.933,5.332,0.945,45.011,0.0921,10.857,im1
8.930,5.362,0.952,45.584,0.0921,10.858,sp1
8.930,5.473,0.979,47.848,0.0920,10.875,im1
8.930,5.471,0.980,47.879,0.0919,10.879,im1
8.899,5.442,0.995,48.186,0.0918,10.890,im1
8.900,5.442,1.008,48.821,0.0915,10.923,im1
8.918,5.515,1.026,50.462,0.0913,10.956,im1
8.924,5.501,1.059,51.987,0.0905,11.052,im1
8.930,5.528,1.062,52.426,0.0905,11.054,im1
8.925,5.580,1.110,55.280,0.0898,11.141,im1
8.925,5.526,1.116,55.041,0.0894,11.184,im1
8.930,5.531,1.132,55.912,0.0891,11.228,im1
8.930,5.840,1.254,65.398,0.0879,11.372,sp1
8.930,6.010,1.345,72.185,0.0869,11.505,im1
8.929,5.982,1.382,73.817,0.0861,11.612,im1
8.930,6.028,1.395,75.093,0.0861,11.619,im1
8.930,6.018,1.396,75.022,0.0860,11.627,im1
8.924,5.981,1.403,74.884,0.0858,11.659,im1
8.928,6.120,1.464,79.992,0.0852,11.735,im1
8.928,6.084,1.469,79.793,0.0850,11.770,im1
8.930,6.187,1.480,81.770,0.0852,11.738,sp1
8.930,6.184,1.496,82.614,0.0849,11.780,im1
8.920,6.250,1.519,84.684,0.0849,11.784,im1
8.900,6.252,1.554,86.469,0.0844,11.844,im1
8.900,6.188,1.559,85.859,0.0841,11.897,im1
8.900,6.156,1.564,85.689,0.0838,11.931,im1
8.930,6.310,1.573,88.636,0.0841,11.895,im1
8.930,6.511,1.707,99.250,0.0826,12.103,sp1
8.928,6.552,1.736,101.550,0.0823,12.146,sp1
8.928,6.563,1.777,104.122,0.0817,12.243,im1
8.928,6.558,1.777,104.043,0.0817,12.246,im1
8.930,6.875,1.939,119.042,0.0804,12.438,im1
8.930,6.839,1.943,118.663,0.0802,12.474,im1
8.930,6.913,1.990,122.849,0.0797,12.540,sp1
8.918,6.916,2.005,123.662,0.0796,12.559,im1
8.930,6.885,2.037,125.241,0.0789,12.682,sp1
8.930,7.033,2.100,131.890,0.0785,12.732,sp1
8.928,7.241,2.161,139.704,0.0786,12.726,im1
8.918,7.232,2.171,140.019,0.0785,12.744,im1
8.928,7.144,2.177,138.853,0.0779,12.841,im1
8.900,7.176,2.180,139.229,0.0782,12.784,im1
8.900,7.203,2.182,139.881,0.0783,12.768,im1
8.900,7.232,2.193,141.152,0.0783,12.773,im1
8.929,7.174,2.208,141.437,0.0775,12.899,im1
8.918,7.330,2.229,145.707,0.0780,12.815,sp1
8.933,7.354,2.234,146.759,0.0779,12.831,sp1
8.929,7.360,2.313,152.004,0.0768,13.021,im1
8.928,7.463,2.368,157.779,0.0765,13.077,sp1
8.930,7.468,2.369,157.987,0.0765,13.079,sp1
8.929,7.587,2.390,161.909,0.0767,13.035,im1
8.931,7.776,2.395,166.327,0.0775,12.906,sp1
8.924,7.655,2.415,164.976,0.0767,13.037,im1
8.929,7.654,2.425,165.731,0.0765,13.070,im1
8.924,7.603,2.461,166.977,0.0758,13.195,im1
8.931,7.725,2.465,170.065,0.0762,13.116,im1
8.928,7.667,2.476,169.485,0.0758,13.186,im1
8.928,7.652,2.478,169.290,0.0757,13.204,im1
8.929,7.679,2.485,170.386,0.0758,13.201,im1
8.929,7.650,2.489,170.016,0.0756,13.235,im1
8.934,7.577,2.551,172.685,0.0742,13.469,sp1
8.924,7.729,2.560,176.572,0.0749,13.344,im1
8.927,8.044,2.569,184.477,0.0762,13.116,sp1
8.932,8.084,2.723,196.618,0.0742,13.469,sp1
8.929,8.228,2.784,204.534,0.0741,13.495,im1
8.929,8.170,2.790,203.530,0.0737,13.559,im1
8.929,8.164,2.791,203.454,0.0737,13.567,im1
8.929,8.142,2.812,204.432,0.0733,13.640,im1
8.929,8.103,2.817,203.815,0.0731,13.687,im1
8.929,8.092,2.819,203.683,0.0730,13.703,im1
