compound_id,SMILES
ZINC2392218,CC(=O)NNC(=O)N1CC2=C(OC3=C1C=C(Cl)C=C3)C=CC=C2
CHEMBL112816,CC(=O)NNC(=O)N1CC2=C(OC3=C1C=C(Cl)C=C3)C=CC=C2
ZINC22053829,C[C@@H](N[C@H]1CCCC[C@@H]1NC(=O)C2=CC=C(Cl)C=C2)C3=C4C=CC=CC4=CC=C3
CHEMBL2402737,COC1=C(NC(=O)[C@@H]2N[C@@H](CC(C)(C)C)[C@@](C#N)([C@H]2C3=C(F)C(=CC=C3)Cl)C4=CC=C(Cl)C=C4F)C=CC(=C1)C(O)=O
ZINC96273105,COC1=C(NC(=O)[C@@H]2N[C@@H](CC(C)(C)C)[C@@](C#N)([C@H]2C3=C(F)C(=CC=C3)Cl)C4=CC=C(Cl)C=C4F)C=CC(=C1)C(O)=O
ZINC59083294,FC1=C(NC(=O)C2=C(Cl)C(=CC=C2)C3(CC3)C#N)C=C(OC4=NC5=C(C=C4)N=C(NC(=O)C6CC6)S5)C=C1
CHEMBL605300,COC(=O)\C1=C(C)\N=C(N[C@H]1C2=CC=C(F)C=C2Cl)\C3=NC=C(F)C=C3F
ZINC3993895,COC(=O)\C1=C(C)\N=C(N[C@H]1C2=CC=C(F)C=C2Cl)\C3=NC=C(F)C=C3F
CHEMBL4161733,C[C@H]([C@H]1CC[C@H](CC1)C2=CC=NC3=CC=C(F)C=C23)C(=O)NC4=CC=C(Cl)C=C4
ZINC28964600,CC(C)(C)C1=CC2=C(C=C1)[C@@H](CC2)NC(=O)NC3=C4C=N[NH]C4=CC=C3
CHEMBL398338,CC(C)(C)C1=CC2=C(C=C1)[C@@H](CC2)NC(=O)NC3=C4C=N[NH]C4=CC=C3
CHEMBL521347,CC\1=C(C(\N=C(/N1)C2=CC(=NC=C2)Cl)C3=C(F)C=C(Cl)C=C3)/C(=O)NC4=C(F)C=C5[NH]N=CC5=C4
ZINC168658420,FC1(F)OC2=CC=C(CN3CCN(CC3)C(=O)NC4=C(Cl)C=CN=C4)C=C2O1
CHEMBL4297294,FC1(F)OC2=CC=C(CN3CCN(CC3)C(=O)NC4=C(Cl)C=CN=C4)C=C2O1
ZINC22010574,C[C@@H]1CN(CCN1C(=O)COC2=CC=C(Cl)C=C2NC(N)=O)CC3=CC=C(F)C=C3
CHEMBL331897,CC[N@@+]1(CC[C@@H](CC1)NC(=O)C2C3=CC(=CC=C3OC4=C2C=C(Cl)C=C4)Cl)C\C5=C\CCCCCC5
24981383,CN(C)S(=O)(=O)c1ccc(N2CCOCC2)c(C(=O)Nc2cc3c(cc2Cl)OCCO3)c1
Z30704595,O=C(Nc1cc(ccc1N1CCOCC1)S(=O)(=O)N1CCCCC1)C1COc2ccccc2O1
CHEMBL1921977,CNC(=O)C1=CC=C2C=C(C=CC2=C1)C3(O)CC[N]4C=NC=C34
CHEMBL412099,[Cl]C1=CC2=C(C=C1)C3=C(N=C([NH]3)C4=C(C=CC=C4[C]#[N])[C]#[N])C5=C2C=CC=C5
ZINC29136213,[Cl]C1=CC2=C(C=C1)C3=C(N=C([NH]3)C4=C(C=CC=C4[C]#[N])[C]#[N])C5=C2C=CC=C5
ZINC22454014,CC1=C(NC(=O)CNC2=CC(=C(F)C=C2)F)C=C(CN3CCNCC3)C=C1
CHEMBL2333365,CC1=C(F)C(=CC=C1C(=O)N2CCOC3=CC=C(C=C3C2)C4=CC=C(N)N=C4)[S+](C)([O-])=O
ZINC95550928,CC1=C(F)C(=CC=C1C(=O)N2CCOC3=CC=C(C=C3C2)C4=CC=C(N)N=C4)[S+](C)([O-])=O
CHEMBL4292264,CC1(C)CCC2(CC1)N[C@H]([C@H](C3=C(F)C(=NC=C3)Cl)[C@]24C(=O)NC5=C4C=CC(=C5)Cl)C(=O)N[C@@H]6CC[C@H](OC6)C(N)=O
CHEMBL420311,NC(=O)C1CCCC2=C1[NH]C3=C2C=C(Cl)C=C3
CHEMBL4297598,C[C@H]([C@H]1CC[C@H](CC1)C2=CC=NC3=CC=C(F)C=C23)C(=O)NC4=CC=C(Cl)C=C4
CHEMBL1198514,ClC1=C(NC(=O)C2=CN=C3C=CC(=C[N]23)C4CCNCC4)C=CC=C1
ZINC48998306,ClC1=C(NC(=O)C2=CN=C3C=CC(=C[N]23)C4CCNCC4)C=CC=C1
CHEMBL1077739,ClC1=C(NC(=O)C2=CN=C3C=CC(=C[N]23)C4CCNCC4)C=CC=C1
CHEMBL2387224,ClC1=C(C(=O)NC2=CC(=NC=C2)NC(=O)C3CC3)C(=CC=C1)Cl
ZINC95920668,ClC1=C(C(=O)NC2=CC(=NC=C2)NC(=O)C3CC3)C(=CC=C1)Cl
ZINC1780082,CC1(C)CC(CC(C)(C)N1)NC(=O)C(=O)NC2=CC=C(Cl)C=C2
CHEMBL254781,CC1(C)CC(CC(C)(C)N1)NC(=O)C(=O)NC2=CC=C(Cl)C=C2
ZINC000040899447,CS(=O)(=O)c1ccc(C(=O)Nc2ccc(Cl)c(c2)-c2ccccn2)c(Cl)c1
CHEMBL4212818,ClC1=CC=C(C=C1)C(=O)NC2=C(N=C3C=CC=C[N]23)C4=CC=CS4
ZINC624098,ClC1=CC=C(C=C1)C(=O)NC2=C(N=C3C=CC=C[N]23)C4=CC=CS4
Z2475280435,Cn1ncc(NS(=O)(=O)c2cccc3OCCCOc23)c1C(O)=O
CHEMBL4303340,CC1=C(C=N[N]1C2=CC=C(Cl)C=C2)C(=O)NC3=CC=C(N4CCC(CC4)N5CCOCC5)C(=C3)C#N
ZINC140341381,CC1=C(C=N[N]1C2=CC=C(Cl)C=C2)C(=O)NC3=CC=C(N4CCC(CC4)N5CCOCC5)C(=C3)C#N
ZINC96270368,OC(=O)C1=CC=CC(=C1)CN2C(=O)\C(C3=C2C=CC=C3)=C(C4=CC=CC=C4)\C5=CC=C(Cl)C=C5
CHEMBL2386114,OC(=O)C1=CC=CC(=C1)CN2C(=O)\C(C3=C2C=CC=C3)=C(C4=CC=CC=C4)\C5=CC=C(Cl)C=C5
CHEMBL1555085,CC1CN(CCN1)[S+]([O-])(=O)C2=C3C=CN=CC3=CC=C2
CHEMBL4216092,OC(=O)C1=C(NC(=O)COCC(=O)N2CCN(CC2)C(C3=CC=CC=C3)C4=CC=CC=C4)C=CC(=C1)Cl
ZINC68267481,OC(=O)C1=C(NC(=O)COCC(=O)N2CCN(CC2)C(C3=CC=CC=C3)C4=CC=CC=C4)C=CC(=C1)Cl
CHEMBL1276678,CN[C@H](CNC(=O)N1CCC[C@H](C1)[C@@H](OCCNC(=O)OC)C2=CC(=CC=C2)Cl)C[C@H]3CCCOC3
ZINC3986227,OC1=C(C=C(Cl)C=C1)C(=O)NC2=CC(=CC(=C2)C(F)(F)F)C(F)(F)F
CHEMBL536151,OC1=C(C=C(Cl)C=C1)C(=O)NC2=CC(=CC(=C2)C(F)(F)F)C(F)(F)F
ZINC592419,FC(F)OC1=CC=C(C=C1OCC2CC2)C(=O)NC3=C(Cl)C=NC=C3Cl
ZINC95571016,CC(C)C[C@H](NC(=O)C1=CC2=CC=CC=C2S1)C(=O)N3CCN(CC3)C(=O)[C@H](CO)N[S+]([O-])(=O)C4=CC=C(Cl)C=C4Cl
CHEMBL4303698,CC(=O)O/N=C/1C(=O)N(CC2=CC(=CC=C2Cl)Cl)C3=CC=C(Cl)C=C13
CHEMBL3348956,CC(N[C@H]1CCCC[C@@H]1NC(=O)C2=CC=C(Cl)C=C2)C3=CC=CC4=C3C=CC=C4
CHEMBL4303565,C[C@@H](N[C@H]1CCCC[C@@H]1NC(=O)C2=CC=C(Cl)C=C2)C3=C4C=CC=CC4=CC=C3
ZINC205893112,COC1=C(OC)C=C2C(=CC=NC2=C1)OC3=CC=C(NC(=O)\C4=C\N(C(C)C)C(=O)N(C4=O)C5=CC=C(F)C=C5)C=C3F
CHEMBL3182926,Clc1cc(c(NS(=O)(=O)C(F)(F)F)cc1)C(=O)OC
CHEMBL3545307,C[N]1N=CC2=C1C=C(C(=C2)OC3=CC=C(NC(=O)\C4=C\C=C(\C)N(C4=O)C5=CC=C(F)C=C5)C=C3F)C6=C[NH]N=C6
ZINC115645995,CC(=O)C/1=C(C)/N(C(=O)N[C@H]1C2=CN=C(C=C2)C#N)C3=CC=CC(=C3)C(F)(F)F
CHEMBL169526,CC(C)(C)COC1=C(C=C(C=C1)[N]2C=C(C=N2)C(O)=O)C#N
ZINC72316197,C[N]1N=CC=C1C/2=C(\C)N(C(=O)C(=C2)/C(=O)NCC3=NC=C(C=C3)[S+](C)([O-])=O)C4=CC=CC(=C4)C(F)(F)F
CHEMBL3617964,C[N]1N=CC=C1C/2=C(\C)N(C(=O)C(=C2)/C(=O)NCC3=NC=C(C=C3)[S+](C)([O-])=O)C4=CC=CC(=C4)C(F)(F)F
ZINC59181534,CCNC1(CN(C1)C2=NC(=NC3=C(C4=CC=C(Cl)C=C4)C(=N[N]23)C5=C(Cl)C=CC=C5)C)C(N)=O
10101912,CCc1ccc(CN(C(=O)c2cc(-c3ccc4c(c3)OCCO4)on2)C2CCS(=O)(=O)C2)cc1
ZINC12187083,OC1(CCN(CC1)C(=O)CCC2=CC=CC=C2)CN3\C=N/C4=C(C=CC(=C4)Cl)C3=O
ZINC584566836,ClC1=CC=C(C=C1)C23C[C@@H]4C[C@@H](CC(C4)(C2)C(=O)NCC5=CC=NC=C5)C3
CHEMBL2107254,Clc1ccccc1C34OCCN4CC(=O)Nc2ccc(Cl)cc23
4534803,O=C1C2=C(N=CN1CC1=CC=C(Cl)C=C1)N(C1=CC3=C(C=C1)OCO3)C1=NC3=CC=CC=C3N=C12
ZINC2855034,CC[N]1C=C(NC(=S)NC2=CC(=CC=C2OC)Cl)C(=N1)C(N)=O
CHEMBL3186128,COC1=CC=C(CCC(=O)NC2=NC3=CC=C(Cl)C=C3S2)C=C1OC
ZINC7485953,COC1=CC=C(CCC(=O)NC2=NC3=CC=C(Cl)C=C3S2)C=C1OC
CHEMBL193240,FC(F)OC1=CC=C(C=C1OCC2CC2)C(=O)NC3=C(Cl)C=NC=C3Cl
ZINC598965,COC1=C(OC2CCCC2)C=C(C=C1)C(=O)NC3=C(Cl)C=NC=C3Cl
CHEMBL3335183,OC1=C(C=CC=C1)C(=O)NC2=C(F)C=C(Cl)C=C2
ZINC42237437,OC1=C(C=CC=C1)C(=O)NC2=C(F)C=C(Cl)C=C2
ZINC7997417,CC1=C(Cl)C=C2N(CCC2=C1)C(=O)NC3=C4C=CC=CC4=NC=C3
CHEMBL253811,C[C@H](N)CC1=CC(=CC=C1)C(F)(F)F
ZINC1675817,C[C@H](N)CC1=CC(=CC=C1)C(F)(F)F
ZINC1021,O=C(OCc1ccccc1)c2ccccc2
CHEMBL1239,O=C(OCc1ccccc1)c2ccccc2
ZINC391816,O=C(OCC1=CC=CC=C1)C2=CN=CC=C2
ZINC101772465,F[C@H]1C[C@@H](C#N)N(C1)C(=O)CN[C@@H]2[C@H]3CN(C[C@@H]23)C(=O)C4=CC=C(F)C=C4
PV-002925557551,CCc1ccc(C(=O)N2CCC2CNC(=O)c2cc(=O)[nH]c(=O)[nH]2)o1
Z4911876314,CCc1ccc(C(=O)N2CCC2CNC(=O)c2cc(=O)[nH]c(=O)[nH]2)o1
Z26768754,Fc1ccc(CCNC(=O)c2cc(ccc2N2CCOCC2)S(=O)(=O)N2CCCCC2)cc1
506900,Cc1ccc(cc1)S(=O)(=O)N1CCN(CCN(CCN(CC1)S(=O)(=O)c1ccc(C)cc1)S(=O)(=O)c1ccc(C)cc1)S(=O)(=O)c1ccc(C)cc1
PV-001938672283,COC(=O)c1cn[nH]c1S(=O)(=O)N1CCCN(C(=O)CC(C)C)CC1
CHEMBL4303305,CC1=C(Cl)C=C2N=C(NC(=O)CC3=CC=CC=C3)SC2=C1
ZINC386312,CC1=C(Cl)C=C2N=C(NC(=O)CC3=CC=CC=C3)SC2=C1
ZINC14211319,ClC1=CC(=CC=C1)COC2=NC(=CN=C2)N3CCNCC3
ZINC30691754,COC1=CC=C(NC(=O)C2=CC=C(C=C2)C(=N)N(C)C)C(=C1)C(=O)NC3=NC=C(Cl)C=C3
CHEMBL512351,COC1=CC=C(NC(=O)C2=CC=C(C=C2)C(=N)N(C)C)C(=C1)C(=O)NC3=NC=C(Cl)C=C3
ZINC5608,COC1=CC2=C(CCNC(C)=O)C=CC=C2C=C1
CHEMBL239800,O=C2N=C(NC(=O)Nc1cccc(Cl)c1)N(C)C2
Z19526294,COc1ccc(cc1)-c1nnc(SCC(=O)NCc2ccc3OCOc3c2)n1CC1CCCO1
32782830,CCCn1cc(C(=O)NCC2CCCO2)c(S(=O)(=O)N2CCN(c3ccc(Cl)cc3)CC2)n1
Z333628124,CC(C)C(NS(=O)(=O)c1ccc2ccccc2c1)C(=O)Nc1cccc(OCC2CCCO2)c1
CHEMBL535607,C[C@@H]1CN(CCN1C(=O)COC2=CC=C(Cl)C=C2NC(N)=O)CC3=CC=C(F)C=C3
CHEMBL232656,C[C@@H]1CN(CCN1C(=O)COC2=CC=C(Cl)C=C2NC(N)=O)CC3=CC=C(F)C=C3
CHEMBL179242,O=C1\C=C(/N=C2\N1\C=C/C3=CC=CC=C23)N4CCOCC4
ZINC13608047,O=C1\C=C(/N=C2\N1\C=C/C3=CC=CC=C23)N4CCOCC4
4561185,COc1ccc(CCn2c(=N)c(C(=O)NCC[NH+]3CCOCC3)cc3c(=O)n4ccccc4nc32)cc1OC
ZINC11677857,COC1=C(Cl)C=C(CNC2=C(C=NC(=N2)N3CCC[C@H]3CO)C(=O)NCC4=NC=CC=N4)C=C1
CHEMBL34913,Cc2nc(C1CCCCC1)c(o2)c3ccc(c(F)c3)S(N)(=O)=O
Z236124422,CC(C)[C@H](NS(=O)(=O)c1ccc2OCCOc2c1)C(=O)OCc1nc(oc1C)-c1cccs1
ZINC602803,CCOC1=C(NC(=O)\C=C\CN(C)C)C=C2C(=C1)N=CC(=C2NC3=CC(=C(F)C=C3)Cl)C#N
CHEMBL208943,O=C([C@@H]1CCCN(C1)C2CCN(CC2)C(=O)C3=C4C=CC=CC4=CC5=CC=CC=C35)N6CCOCC6
