key,counter,timer,key_sequence
fCoF,13,27.832827624317574,"['jhqm', 'Dsqw', 'MwfG', 'wVcg', 'vhtN', 'MwfG', 'hoRK', 'MwfG', 'MFvC', 'eRfO', 'MBMy', 'kDpG', 'xnmd', 'XZIo', 'glQL', 'kLmu', 'bEVO', 'SCVM', 'nrKi', 'xJrT', 'eLzN', 'oXQC', 'QVpv', 'wRgM', 'ecfG', 'nmfp', 'elJp', 'nebC', 'MmyP', 'fwwy', 'tLOD', 'tCyh', 'ctlq', 'sbcA', 'yILf', 'QCED', 'pLFr', 'vhtN', 'wRgM', 'tRzI', 'scTs', 'HNLl', 'BxLv', 'JCXy', 'IeYd', 'glQL', 'UFLA', 'sbcA', 'aBxI', 'MwfG', 'sbcA', 'Eiiy', 'yILf', 'jMPD', 'fkSA', 'yILf', 'jhqm', 'xoMx', 'ngkg', 'tRzI', 'glQL', 'dwvz', 'LfFj', 'tCyh', 'dHsP', 'NGNk', 'oZCz', 'mtQu', 'pFwJ', 'EVCC', 'MFvC', 'NTak', 'LfQv', 'eNcS', 'MFvC', 'tRzI', 'PVDY', 'wAgl', 'RYQF', 'DlKN', 'sbcA', 'GTeQ', 'aAtG', 'HiSS', 'ZTiR', 'pcvP', 'YcwR', 'eNcS', 'ythW', 'lOMp', 'IEQW', 'sbcA', 'UZrU', 'RfLg', 'tCfy', 'sbcA', 'Mhxr', 'gSwa', 'Blwl']"
fCoF,2,20.144842496305042,"['IpqN', 'HuZB', 'fJCY', 'Hstk', 'Hstk', 'caiz', 'sOTr', 'ZOsC', 'BzwM', 'mVhx', 'Hstk', 'GIzD', 'tFmS', 'HuZB', 'PrWN', 'sjXV', 'VAsT', 'eBGo', 'nUOb', 'jHwb', 'ipeR', 'BHcv', 'pueU', 'pLaH', 'msoW', 'ynmH', 'Hstk', 'FGXJ', 'fbFK', 'iLit', 'sbJR', 'gtUM', 'IFkb', 'ilRk', 'RCUM', 'xlrx', 'jHwb', 'ISrK', 'sbJR', 'ythW', 'wAgl', 'VxqL', 'EsiU', 'uQME', 'lhnW', 'AjVT', 'KkNQ', 'eBGo', 'MmyP', 'yBIl', 'fDEC', 'ZOsC', 'NwuI', 'YgZy', 'eBGo', 'RDZc', 'OzGj', 'Fboh', 'SFPL', 'tFmS', 'OfTS', 'zslz', 'eBGo', 'gSwa', 'sbJR', 'hXpz', 'QHqy', 'pgJK', 'zslz', 'fwwy', 'gzgF', 'ffkk', 'FVYl', 'oPFs', 'aCaB', 'Xzlh', 'iLzV', 'UZrU', 'sbJR', 'WJUG', 'IcuF', 'FVYl', 'eBGo', 'FVYl', 'EKdW', 'HbWR', 'YVNo', 'LNtu', 'ynmH', 'iAfA']"
hoRK,1,16.783352309726705,"['BSwT', 'uDnn', 'hkqI', 'FcOA', 'gLXX', 'tZnO', 'BSwT', 'gQtG', 'naPr', 'zzFA', 'jMPD', 'RTjf', 'wAgl', 'nRku', 'gsyD', 'njKq', 'SYQT', 'apkh', 'SYQT', 'YCKg', 'HziP', 'KoaX', 'wlyU', 'ulLg', 'nmNX', 'WiIL', 'nmNX', 'IFkb', 'EjpJ', 'yBIl', 'ZyOt', 'dGch', 'Dsqw', 'AjVT', 'oetA', 'viyg', 'dNNg', 'Dsqw', 'pFwJ', 'IEQW', 'nHTC', 'EKdW', 'zyki', 'pfdZ', 'dIOS', 'odkO', 'gQtG', 'zzFA', 'Qnut', 'nSRe', 'HiWo', 'YECR', 'zzFA', 'bQfT', 'ROlb', 'eKHU', 'dGch', 'aOMM', 'aOMM', 'TxKU', 'SYQT', 'eBGo', 'HwLG', 'SxIH', 'iLzV', 'zHfv', 'iLit', 'emlB', 'rIZH', 'SFPL', 'fmbT', 'ZfRN', 'IntU', 'IbaP', 'RbcD', 'iXBO', 'jMPD', 'SYQT', 'gQtG', 'wtAr', 'apkh', 'CqeI', 'Dsqw', 'MwfG', 'Dsqw', 'dGlV', 'CPsU', 'LNtu', 'rWUR', 'nmNX', 'qAkQ', 'FNIj', 'VKoQ', 'dGch', 'QIRM', 'gQtG']"
hoRK,2,4.223390919725683,"['zesr', 'LNTb', 'PieA', 'DpZg', 'tCyh', 'WJUG', 'JeYO', 'sbJR', 'HuZB', 'Iijd', 'mVhx', 'cPpt', 'xlrx', 'sbJR', 'Ytbk', 'eBGo', 'FVYl', 'mVhx', 'DWhM', 'LNtu', 'hiXP', 'JgYu', 'vgdt', 'dGch', 'Xzlh', 'Ynfw', 'JnQY', 'RrCa', 'qJXu', 'tFmS', 'vDZl', 'mFkV', 'fwwy', 'Mlvr', 'tFmS', 'JeYO', 'tFmS', 'FRDQ', 'mtQu', 'ZOsC', 'IMXv', 'ISPF', 'aAmh', 'bQfT', 'GIzD', 'Xzlh', 'EiQp', 'Ytbk', 'rslN']"
hoRK,4,6.372205949521681,"['ELgu', 'HRAt', 'UJiw', 'axEp', 'tRzI', 'aAtG', 'ROlb', 'LfFj', 'GrQN', 'BcZI', 'CUSL', 'tCyh', 'tRzI', 'ohkU', 'jhqm', 'yILf', 'IWgg', 'Ioex', 'yILf', 'mWxS', 'NTLY', 'zyki', 'fwwy', 'iLzV', 'CWvW', 'vhtN', 'MFvC', 'IpAA', 'oeCF', 'axEp', 'fwwy', 'wRgM', 'axEp', 'Plbk', 'Mhxr', 'MFvC', 'eBck', 'NTak', 'MwfG', 'UkAX', 'cnjX', 'sbJR', 'tCyh', 'CaeF', 'zsWw', 'LjnJ', 'Udda', 'YpjJ', 'YQPh', 'lxDG', 'jMPD', 'Ylsc', 'hryx', 'dGlV', 'tZnO', 'eciG', 'xJrT', 'LfFj', 'ofkl', 'iupK', 'MwfG', 'LqFA', 'DDjZ', 'CjFR', 'tRzI', 'iCCe', 'aAtG', 'pCao', 'UBKt', 'DVld', 'tRzI', 'aAtG', 'aAtG', 'vEBW', 'tRzI', 'rXaW', 'tRzI', 'LfQv', 'fmbT', 'Mhxr', 'TeAo', 'FkEu', 'ssjl', 'sbcA', 'caVS', 'DzrJ', 'UuYz', 'MSMD', 'OfTS', 'CjFR', 'fwwy', 'MwfG', 'Mhxr', 'UFLA', 'lQxp', 'oYaQ']"
hoRK,12,161.2808767930695,"['dRpq', 'tCyh', 'axEp', 'HGJL', 'wtAr', 'yBhu', 'txXS', 'vkvV', 'jMPD', 'HNXk', 'NwuI', 'OcMK', 'MFvC', 'MFvC', 'glQL', 'NFPl', 'YECR', 'pQtJ', 'YQPh', 'jhqm', 'tNDP', 'Mhxr', 'lOMp', 'sbcA', 'tCyh', 'crdZ', 'pQtJ', 'ULAU', 'uZYb', 'yILf', 'nraM', 'LBfo', 'fOpe', 'sbcA', 'tRzI', 'wvJm', 'pQtJ', 'poLs', 'pQtJ', 'wRgM', 'Dlnu', 'RAeI', 'JCBQ', 'NjSU', 'pQtJ', 'rsOL', 'YQPh', 'pQtJ', 'gsyD', 'aAtG', 'iGcD', 'juYo', 'xoMx', 'qgVp', 'vAUK', 'dNNg', 'jhqm', 'CjFR', 'WdWb', 'glQL', 'qVXu', 'HqwE', 'fbqP', 'Qnut', 'vhtN', 'WYWT', 'VHFa', 'WqtP', 'Zmji', 'KdvC', 'mfMz', 'cFzV', 'Vxnm', 'wRgM', 'xoMx', 'efNE']"
nRku,1,166.60195046406704,"['SYQT', 'QzPM', 'mKKx', 'mrJu', 'IbaP', 'COtB', 'jPSS', 'nGOT', 'hswp', 'gDdN', 'SYQT', 'XrGP', 'SYQT', 'XZIo', 'zzFA', 'fOpe', 'Dlnu', 'nmNX', 'jMPD', 'CPsU', 'IbaP', 'zgSx', 'IWwC', 'BSwT', 'JIeG', 'ogJt', 'yBIl', 'hiXP', 'bQfT', 'IbaP', 'zVRe', 'zVAu', 'SYQT', 'mFkV', 'LDyT', 'Ytbk', 'tPxc', 'zzFA', 'Sdew', 'LfQv', 'XkJg', 'YCKg', 'BSwT', 'thpz', 'YCKg', 'YECR', 'jMPD', 'QzPM', 'mZiU', 'IbaP', 'BSwT', 'kjsL', 'Vsyx', 'dGch', 'GmIL', 'RrCa', 'zzFA', 'PJjt', 'wlyU', 'cfOx', 'RDZc', 'TxKU', 'YQXP', 'aLJB', 'Vsyx', 'ROQi', 'oetA', 'IbaP', 'QwZO', 'COtB', 'Fboh', 'XiUi', 'qgVp', 'bQfT', 'poLs', 'WSyk', 'hvJS', 'GEmI', 'aLJB', 'mZtb', 'mrJu', 'IbaP', 'InLr', 'SYQT', 'IbaP', 'zzFA', 'OboZ', 'BSwT', 'IpqN', 'rvtz', 'RGSE', 'bQfT', 'ZLBN', 'JXtN', 'jXAc', 'WyQu', 'QzPM', 'EjpJ']"
YCKg,8,36.4840817737996,"['tpcS', 'Xdyo', 'MFvC', 'KWOl', 'EKSN', 'LfFj', 'dIOS', 'fixn', 'BZQZ', 'gtUM', 'eBck', 'VtvD', 'eBck', 'QubJ', 'MwfG', 'MFvC', 'pQtJ', 'sbcA', 'MEit', 'jhqm', 'LfFj', 'HNLl', 'FArF', 'tCyh', 'hieH', 'yBIl', 'QCED', 'JXtN', 'TVtJ', 'DzrJ', 'rnpS', 'yILf', 'MFvC', 'UPPF', 'Mhxr', 'MwfG', 'MwfG', 'Bvvh', 'fwwy', 'YWSi', 'DzrJ', 'apkh', 'tRzI', 'aAtG', 'wFmv', 'glQL', 'pQtJ', 'nBkK', 'wRgM', 'GbuD', 'zPJp', 'rEHw', 'haRZ', 'kDpG', 'IaQp', 'jhqm', 'BHFF', 'tCyh', 'tRzI', 'WraI', 'nebC', 'OzNN', 'ilRk', 'TUyc', 'tCyh', 'fGUq', 'LfFj', 'fRSo', 'eBck', 'XIYM', 'Zmji', 'MwfG', 'YpjJ', 'gZOs', 'glQL', 'mVhx', 'woNf', 'jXAc', 'aAtG', 'xJrT', 'hXpz', 'cMum', 'OboZ', 'MJUe', 'ppkK', 'Tysp', 'RDZc', 'WZxC', 'ffkk', 'Ioex', 'kqZH', 'Sdew', 'xJrT', 'tRzI', 'eBGo', 'bdUx', 'XrGP', 'MGOM', 'tRzI', 'glQL']"
YCKg,7,19.990457882657857,"['tCyh', 'RTjf', 'Mhxr', 'qbXA', 'jhqm', 'yILf', 'JeYO', 'glQL', 'Bvvh', 'rgsI', 'jhqm', 'QKpF', 'MwfG', 'pQtJ', 'HNvH', 'wRgM', 'TmyF', 'DBuH', 'ulLg', 'Zmji', 'glQL', 'wRgM', 'JnQY', 'BGPP', 'UFLA', 'RzLA', 'ZoYX', 'Tzqz', 'XHjY', 'PKri', 'ROQi', 'tCyh', 'iCCe', 'wRgM', 'MFvC', 'Tzqz', 'Zmji', 'DfoB', 'rEHw', 'LfqT', 'MwfG', 'uSPH', 'wRgM', 'nHfw', 'PsRR', 'vAUK', 'RRmx', 'KHZC', 'NTak', 'fwwy', 'lndN', 'scTs', 'Hbol']"
YCKg,2,169.70206994335146,"['PieA', 'mIKa', 'STbk', 'KdvC', 'aIxV', 'QcLC', 'Vsyx', 'xlrx', 'uAVJ', 'xlrx', 'UZrU', 'JeYO', 'GrQN', 'zGpX', 'RfLg', 'AHgb', 'tNDP', 'UZrU', 'IvMR', 'vGiW', 'TXez', 'zrgI', 'UZrU', 'Arbf', 'Bmzd', 'LNTb', 'RYQF', 'QYAz', 'BRRn', 'csah', 'YOHW', 'IiyY', 'xGpE', 'IoFh', 'IMXv', 'RzLA', 'GAvK', 'HJnv', 'naPr', 'UZrU', 'tYqh', 'UZrU', 'RfLg', 'aAmh', 'vDZl', 'fCoF', 'NJzE', 'UZrU', 'uAVJ', 'qnkX', 'TVtJ', 'lOMp', 'zrgI', 'RfLg', 'xGpE', 'xGpE', 'TVtJ', 'aOMM', 'RzLA', 'SxIH', 'OfTS', 'xGpE', 'ENLu', 'rWUR', 'zrgI', 'RzLA', 'IvMR', 'uDnn', 'uAVJ', 'hZLA', 'qHVe', 'ipeR', 'Hbol', 'mySd', 'RzLA', 'TbGm', 'WraI', 'QCED', 'RKFZ', 'zrgI', 'Vsyx', 'xXTn', 'zrgI', 'IMXv', 'GrQN', 'lPrT', 'Zmji', 'NJzE', 'mIKa', 'TVtJ', 'zrgI', 'uyHZ', 'aKQZ', 'xGpE', 'MSMD', 'HiSS', 'apkh', 'jHwb', 'yEzO', 'uAVJ', 'RfLg', 'AAED', 'uDnn']"
