aCO2,U,flux_CO,flux_H2,flux_HCOO
0.000000000000000000e+00,-8.000000000000000444e-01,0.000000000000000000e+00,5.182134786415812377e-07,0.000000000000000000e+00
1.000000000000000048e-04,-8.000000000000000444e-01,8.274865926412471620e-10,5.171791204007796346e-07,2.275588129763430212e-09
1.778279410038922698e-04,-8.000000000000000444e-01,1.469220007141715301e-09,5.163769536326540770e-07,4.040355019639716975e-09
3.162277660168379394e-04,-8.000000000000000444e-01,2.605497239303306154e-09,5.149566070924521379e-07,7.165117408084094199e-09
5.623413251903490971e-04,-8.000000000000000444e-01,4.610749370747582586e-09,5.124500419281467308e-07,1.267956076955585480e-08
1.000000000000000021e-03,-8.000000000000000444e-01,8.128838880652253211e-09,5.080524300407658695e-07,2.235430692179370088e-08
1.778279410038922752e-03,-8.000000000000000444e-01,1.423806846535422181e-08,5.004158930598884667e-07,3.915468827972411619e-08
3.162277660168379394e-03,-8.000000000000000444e-01,2.466011583900561673e-08,4.873883338428242656e-07,6.781531855726544188e-08
5.623413251903490971e-03,-8.000000000000000444e-01,4.191225777405308240e-08,4.658231564240148847e-07,1.152587088786459766e-07
1.000000000000000021e-02,-8.000000000000000444e-01,6.909513048554414650e-08,4.318445655346510315e-07,1.900116088352464591e-07
2.000000000000000042e-02,-8.000000000000000444e-01,1.184487951180756930e-07,3.701524847439866513e-07,3.257341865747081854e-07
4.000000000000000777e-02,-8.000000000000000444e-01,1.842536812947844171e-07,2.878963770231007229e-07,5.066976235606571538e-07
6.000000000000001166e-02,-8.000000000000000444e-01,2.261295179526900062e-07,2.355515812007187300e-07,6.218561743698975700e-07
8.000000000000001554e-02,-8.000000000000000444e-01,2.551204817927784441e-07,1.993128764006080767e-07,7.015813249301408536e-07
1.000000000000000194e-01,-8.000000000000000444e-01,2.763805219421766390e-07,1.727378262138603861e-07,7.600464353409859424e-07
1.200000000000000233e-01,-8.000000000000000444e-01,2.926381997034811222e-07,1.524157290122298085e-07,8.047550491845731390e-07
