,,,enrich,enrich,enrich,enrich,enrich,enrich,enrich,enrich
,,,count,mean,std,min,25%,50%,75%,max
model,target,p,,,,,,,,
HDC-RF,ADRB2,0.01,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
HDC-RF,ALDH1,0.01,1.0,8.043328168044077,,8.043328168044077,8.043328168044077,8.043328168044077,8.043328168044077,8.043328168044077
HDC-RF,ESR1_ago,0.01,1.0,3.330952380952381,,3.330952380952381,3.330952380952381,3.330952380952381,3.330952380952381,3.330952380952381
HDC-RF,ESR1_ant,0.01,1.0,22.793786982248527,,22.793786982248527,22.793786982248527,22.793786982248527,22.793786982248527,22.793786982248527
HDC-RF,FEN1,0.01,1.0,19.987191011235957,,19.987191011235957,19.987191011235957,19.987191011235957,19.987191011235957,19.987191011235957
HDC-RF,GBA,0.01,1.0,9.75597647966069,,9.75597647966069,9.75597647966069,9.75597647966069,9.75597647966069,9.75597647966069
HDC-RF,IDH1,0.01,1.0,17.984503311258283,,17.984503311258283,17.984503311258283,17.984503311258283,17.984503311258283,17.984503311258283
HDC-RF,KAT2A,0.01,1.0,4.89717281407976,,4.89717281407976,4.89717281407976,4.89717281407976,4.89717281407976,4.89717281407976
HDC-RF,MAPK1,0.01,1.0,17.460340292618774,,17.460340292618774,17.460340292618774,17.460340292618774,17.460340292618774,17.460340292618774
HDC-RF,MTORC1,0.01,1.0,17.84759036144578,,17.84759036144578,17.84759036144578,17.84759036144578,17.84759036144578,17.84759036144578
HDC-RF,OPRK1,0.01,1.0,33.313580246913574,,33.313580246913574,33.313580246913574,33.313580246913574,33.313580246913574,33.313580246913574
HDC-RF,PKM2,0.01,1.0,9.549315100957438,,9.549315100957438,9.549315100957438,9.549315100957438,9.549315100957438,9.549315100957438
HDC-RF,PPARG,0.01,1.0,56.14285714285713,,56.14285714285713,56.14285714285713,56.14285714285713,56.14285714285713,56.14285714285713
HDC-RF,TP53,0.01,1.0,43.44545454545455,,43.44545454545455,43.44545454545455,43.44545454545455,43.44545454545455,43.44545454545455
HDC-RF,VDR,0.01,1.0,7.780010258441632,,7.780010258441632,7.780010258441632,7.780010258441632,7.780010258441632,7.780010258441632
Vina,ADRB2,0.01,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
Vina,ALDH1,0.01,1.0,1.2696712783619255,,1.2696712783619255,1.2696712783619255,1.2696712783619255,1.2696712783619255,1.2696712783619255
Vina,ESR1_ago,0.01,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
Vina,ESR1_ant,0.01,1.0,7.614035087719298,,7.614035087719298,7.614035087719298,7.614035087719298,7.614035087719298,7.614035087719298
Vina,FEN1,0.01,1.0,0.9896072388695824,,0.9896072388695824,0.9896072388695824,0.9896072388695824,0.9896072388695824,0.9896072388695824
Vina,GBA,0.01,1.0,4.346456692913385,,4.346456692913385,4.346456692913385,4.346456692913385,4.346456692913385,4.346456692913385
Vina,IDH1,0.01,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
Vina,KAT2A,0.01,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
Vina,MAPK1,0.01,1.0,1.246141975308642,,1.246141975308642,1.246141975308642,1.246141975308642,1.246141975308642,1.246141975308642
Vina,MTORC1,0.01,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
Vina,OPRK1,0.01,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
Vina,PKM2,0.01,1.0,2.188966054850826,,2.188966054850826,2.188966054850826,2.188966054850826,2.188966054850826,2.188966054850826
Vina,PPARG,0.01,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
Vina,TP53,0.01,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
Vina,VDR,0.01,1.0,1.315071247988968,,1.315071247988968,1.315071247988968,1.315071247988968,1.315071247988968,1.315071247988968
ecfp,ADRB2,0.01,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
ecfp,ALDH1,0.01,1.0,0.6693476977567886,,0.6693476977567886,0.6693476977567886,0.6693476977567886,0.6693476977567886,0.6693476977567886
ecfp,ESR1_ago,0.01,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
ecfp,ESR1_ant,0.01,1.0,7.473372781065089,,7.473372781065089,7.473372781065089,7.473372781065089,7.473372781065089,7.473372781065089
ecfp,FEN1,0.01,1.0,1.0862603810454323,,1.0862603810454323,1.0862603810454323,1.0862603810454323,1.0862603810454323,1.0862603810454323
ecfp,GBA,0.01,1.0,2.379506458453827,,2.379506458453827,2.379506458453827,2.379506458453827,2.379506458453827,2.379506458453827
ecfp,IDH1,0.01,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
ecfp,KAT2A,0.01,1.0,4.080977345066467,,4.080977345066467,4.080977345066467,4.080977345066467,4.080977345066467,4.080977345066467
ecfp,MAPK1,0.01,1.0,1.293358540193983,,1.293358540193983,1.293358540193983,1.293358540193983,1.293358540193983,1.293358540193983
ecfp,MTORC1,0.01,1.0,8.301204819277107,,8.301204819277107,8.301204819277107,8.301204819277107,8.301204819277107,8.301204819277107
ecfp,OPRK1,0.01,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
ecfp,PKM2,0.01,1.0,2.186866053654375,,2.186866053654375,2.186866053654375,2.186866053654375,2.186866053654375,2.186866053654375
ecfp,PPARG,0.01,1.0,26.734693877551017,,26.734693877551017,26.734693877551017,26.734693877551017,26.734693877551017,26.734693877551017
ecfp,TP53,0.01,1.0,19.309090909090912,,19.309090909090912,19.309090909090912,19.309090909090912,19.309090909090912,19.309090909090912
ecfp,VDR,0.01,1.0,0.45232617781637396,,0.45232617781637396,0.45232617781637396,0.45232617781637396,0.45232617781637396,0.45232617781637396
mlp,ADRB2,0.01,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
mlp,ALDH1,0.01,1.0,14.20690488488784,,14.20690488488784,14.20690488488784,14.20690488488784,14.20690488488784,14.20690488488784
mlp,ESR1_ago,0.01,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
mlp,ESR1_ant,0.01,1.0,26.904142011834317,,26.904142011834317,26.904142011834317,26.904142011834317,26.904142011834317,26.904142011834317
mlp,FEN1,0.01,1.0,40.843390327308256,,40.843390327308256,40.843390327308256,40.843390327308256,40.843390327308256,40.843390327308256
mlp,GBA,0.01,1.0,44.734721418931954,,44.734721418931954,44.734721418931954,44.734721418931954,44.734721418931954,44.734721418931954
mlp,IDH1,0.01,1.0,2.9974172185430477,,2.9974172185430477,2.9974172185430477,2.9974172185430477,2.9974172185430477,2.9974172185430477
mlp,KAT2A,0.01,1.0,12.242932035199402,,12.242932035199402,12.242932035199402,12.242932035199402,12.242932035199402,12.242932035199402
mlp,MAPK1,0.01,1.0,11.381555153707053,,11.381555153707053,11.381555153707053,11.381555153707053,11.381555153707053,11.381555153707053
mlp,MTORC1,0.01,1.0,22.41325301204819,,22.41325301204819,22.41325301204819,22.41325301204819,22.41325301204819,22.41325301204819
mlp,OPRK1,0.01,1.0,33.313580246913574,,33.313580246913574,33.313580246913574,33.313580246913574,33.313580246913574,33.313580246913574
mlp,PKM2,0.01,1.0,33.67773722627737,,33.67773722627737,33.67773722627737,33.67773722627737,33.67773722627737,33.67773722627737
mlp,PPARG,0.01,1.0,40.10204081632652,,40.10204081632652,40.10204081632652,40.10204081632652,40.10204081632652,40.10204081632652
mlp,TP53,0.01,1.0,30.894545454545455,,30.894545454545455,30.894545454545455,30.894545454545455,30.894545454545455,30.894545454545455
mlp,VDR,0.01,1.0,32.024693389399275,,32.024693389399275,32.024693389399275,32.024693389399275,32.024693389399275,32.024693389399275
rf,ADRB2,0.01,1.0,2.4976023017902813,,2.4976023017902813,2.4976023017902813,2.4976023017902813,2.4976023017902813,2.4976023017902813
rf,ALDH1,0.01,1.0,15.980676283943328,,15.980676283943328,15.980676283943328,15.980676283943328,15.980676283943328,15.980676283943328
rf,ESR1_ago,0.01,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
rf,ESR1_ant,0.01,1.0,33.25650887573964,,33.25650887573964,33.25650887573964,33.25650887573964,33.25650887573964,33.25650887573964
rf,FEN1,0.01,1.0,54.530271128480706,,54.530271128480706,54.530271128480706,54.530271128480706,54.530271128480706,54.530271128480706
rf,GBA,0.01,1.0,59.24971081550029,,59.24971081550029,59.24971081550029,59.24971081550029,59.24971081550029,59.24971081550029
rf,IDH1,0.01,1.0,12.98880794701987,,12.98880794701987,12.98880794701987,12.98880794701987,12.98880794701987,12.98880794701987
rf,KAT2A,0.01,1.0,24.28181520314548,,24.28181520314548,24.28181520314548,24.28181520314548,24.28181520314548,24.28181520314548
rf,MAPK1,0.01,1.0,16.94299687654118,,16.94299687654118,16.94299687654118,16.94299687654118,16.94299687654118,16.94299687654118
rf,MTORC1,0.01,1.0,29.469277108433733,,29.469277108433733,29.469277108433733,29.469277108433733,29.469277108433733,29.469277108433733
rf,OPRK1,0.01,1.0,33.313580246913574,,33.313580246913574,33.313580246913574,33.313580246913574,33.313580246913574,33.313580246913574
rf,PKM2,0.01,1.0,39.43648450090056,,39.43648450090056,39.43648450090056,39.43648450090056,39.43648450090056,39.43648450090056
rf,PPARG,0.01,1.0,61.489795918367335,,61.489795918367335,61.489795918367335,61.489795918367335,61.489795918367335,61.489795918367335
rf,TP53,0.01,1.0,41.51454545454546,,41.51454545454546,41.51454545454546,41.51454545454546,41.51454545454546,41.51454545454546
rf,VDR,0.01,1.0,46.18250275505177,,46.18250275505177,46.18250275505177,46.18250275505177,46.18250275505177,46.18250275505177
selfies.atomwise,ADRB2,0.01,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
selfies.atomwise,ALDH1,0.01,1.0,0.7809056473829201,,0.7809056473829201,0.7809056473829201,0.7809056473829201,0.7809056473829201,0.7809056473829201
selfies.atomwise,ESR1_ago,0.01,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
selfies.atomwise,ESR1_ant,0.01,1.0,3.7366863905325447,,3.7366863905325447,3.7366863905325447,3.7366863905325447,3.7366863905325447,3.7366863905325447
selfies.atomwise,FEN1,0.01,1.0,3.2587811431362974,,3.2587811431362974,3.2587811431362974,3.2587811431362974,3.2587811431362974,3.2587811431362974
selfies.atomwise,GBA,0.01,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
selfies.atomwise,IDH1,0.01,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
selfies.atomwise,KAT2A,0.01,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
selfies.atomwise,MAPK1,0.01,1.0,2.5867170803879667,,2.5867170803879667,2.5867170803879667,2.5867170803879667,2.5867170803879667,2.5867170803879667
selfies.atomwise,MTORC1,0.01,1.0,4.150602409638553,,4.150602409638553,4.150602409638553,4.150602409638553,4.150602409638553,4.150602409638553
selfies.atomwise,OPRK1,0.01,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
selfies.atomwise,PKM2,0.01,1.0,2.9158214048725,,2.9158214048725,2.9158214048725,2.9158214048725,2.9158214048725,2.9158214048725
selfies.atomwise,PPARG,0.01,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
selfies.atomwise,TP53,0.01,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
selfies.atomwise,VDR,0.01,1.0,0.45232617781637396,,0.45232617781637396,0.45232617781637396,0.45232617781637396,0.45232617781637396,0.45232617781637396
smiles-pe.atomwise.0,ADRB2,0.01,1.0,24.97602301790281,,24.97602301790281,24.97602301790281,24.97602301790281,24.97602301790281,24.97602301790281
smiles-pe.atomwise.0,ALDH1,0.01,1.0,0.6693476977567886,,0.6693476977567886,0.6693476977567886,0.6693476977567886,0.6693476977567886,0.6693476977567886
smiles-pe.atomwise.0,ESR1_ago,0.01,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
smiles-pe.atomwise.0,ESR1_ant,0.01,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
smiles-pe.atomwise.0,FEN1,0.01,1.0,2.1725207620908646,,2.1725207620908646,2.1725207620908646,2.1725207620908646,2.1725207620908646,2.1725207620908646
smiles-pe.atomwise.0,GBA,0.01,1.0,2.379506458453827,,2.379506458453827,2.379506458453827,2.379506458453827,2.379506458453827,2.379506458453827
smiles-pe.atomwise.0,IDH1,0.01,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
smiles-pe.atomwise.0,KAT2A,0.01,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
smiles-pe.atomwise.0,MAPK1,0.01,1.0,3.8800756205819495,,3.8800756205819495,3.8800756205819495,3.8800756205819495,3.8800756205819495,3.8800756205819495
smiles-pe.atomwise.0,MTORC1,0.01,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
smiles-pe.atomwise.0,OPRK1,0.01,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
smiles-pe.atomwise.0,PKM2,0.01,1.0,1.45791070243625,,1.45791070243625,1.45791070243625,1.45791070243625,1.45791070243625,1.45791070243625
smiles-pe.atomwise.0,PPARG,0.01,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
smiles-pe.atomwise.0,TP53,0.01,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
smiles-pe.atomwise.0,VDR,0.01,1.0,0.45232617781637396,,0.45232617781637396,0.45232617781637396,0.45232617781637396,0.45232617781637396,0.45232617781637396
smiles-pe.bpe.0,ADRB2,0.01,1.0,24.97602301790281,,24.97602301790281,24.97602301790281,24.97602301790281,24.97602301790281,24.97602301790281
smiles-pe.bpe.0,ALDH1,0.01,1.0,1.0598005214482489,,1.0598005214482489,1.0598005214482489,1.0598005214482489,1.0598005214482489,1.0598005214482489
smiles-pe.bpe.0,ESR1_ago,0.01,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
smiles-pe.bpe.0,ESR1_ant,0.01,1.0,3.7366863905325447,,3.7366863905325447,3.7366863905325447,3.7366863905325447,3.7366863905325447,3.7366863905325447
smiles-pe.bpe.0,FEN1,0.01,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
smiles-pe.bpe.0,GBA,0.01,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
smiles-pe.bpe.0,IDH1,0.01,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
smiles-pe.bpe.0,KAT2A,0.01,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
smiles-pe.bpe.0,MAPK1,0.01,1.0,1.293358540193983,,1.293358540193983,1.293358540193983,1.293358540193983,1.293358540193983,1.293358540193983
smiles-pe.bpe.0,MTORC1,0.01,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
smiles-pe.bpe.0,OPRK1,0.01,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
smiles-pe.bpe.0,PKM2,0.01,1.0,1.45791070243625,,1.45791070243625,1.45791070243625,1.45791070243625,1.45791070243625,1.45791070243625
smiles-pe.bpe.0,PPARG,0.01,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
smiles-pe.bpe.0,TP53,0.01,1.0,4.827272727272728,,4.827272727272728,4.827272727272728,4.827272727272728,4.827272727272728,4.827272727272728
smiles-pe.bpe.0,VDR,0.01,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
