trial_number,value,state,duration,lr,batch_size
0,1.9026073217391968,COMPLETE,0:00:06.949365,4.0859676151391444e-05,54
1,0.15300948917865753,COMPLETE,0:00:14.401856,0.0003034587724968537,21
2,0.09011314809322357,COMPLETE,0:00:11.468057,0.005239295087832278,33
3,3.2430999279022217,COMPLETE,0:00:07.180142,1.4034221751697176e-05,54
4,3.655766010284424,COMPLETE,0:00:04.746918,1.9521198196786495e-06,114
5,3.753711462020874,PRUNED,0:00:01.841904,3.470844514193828e-05,115
6,3.7691545486450195,PRUNED,0:00:02.152639,3.536818002105992e-06,92
7,4.04267692565918,PRUNED,0:00:01.307409,1.5940373066821376e-06,92
8,3.8362374305725098,PRUNED,0:00:02.480156,1.2871630487338892e-06,40
9,3.8726673126220703,PRUNED,0:00:01.443399,2.7173597975460336e-06,81
10,0.08419745415449142,COMPLETE,0:00:32.458760,0.00985183921854628,8
11,0.0795731469988823,COMPLETE,0:00:32.997741,0.009719674514887826,10
12,0.06514543294906616,COMPLETE,0:00:25.147751,0.009849230083711686,12
13,0.06870277971029282,COMPLETE,0:00:25.940628,0.0016171689493252872,10
14,0.0852213129401207,COMPLETE,0:00:09.858709,0.0009022469226755547,31
15,0.2699182331562042,PRUNED,0:00:01.938686,0.001998822745908741,51
16,0.3468106985092163,PRUNED,0:00:04.023329,0.00044166664636668165,21
17,0.26159557700157166,PRUNED,0:00:01.538332,0.0020015209832214315,68
18,0.2632004916667938,PRUNED,0:00:03.863147,0.0027013935354986336,22
19,1.2918148040771484,PRUNED,0:00:02.213789,0.00014717518841698247,43
20,0.4615325629711151,PRUNED,0:00:01.820448,0.0007688717207925917,69
21,0.17089197039604187,PRUNED,0:00:08.304764,0.009492513283525711,9
22,0.06753344088792801,COMPLETE,0:00:23.495373,0.004121944227605401,11
23,0.07035160064697266,COMPLETE,0:00:13.802280,0.003583357546552805,21
24,0.27062129974365234,PRUNED,0:00:03.367769,0.0011040590621739105,26
25,0.07773412019014359,COMPLETE,0:00:19.266803,0.004010954877447544,14
26,0.8302013874053955,PRUNED,0:00:02.475479,0.00024939871231873006,37
27,0.2517375946044922,PRUNED,0:00:05.585844,0.0015304648631852575,15
28,0.15470461547374725,PRUNED,0:00:02.124202,0.0005425479433661669,45
29,0.13062897324562073,PRUNED,0:00:01.758419,0.004909841450101186,57
30,0.08374945819377899,COMPLETE,0:00:10.169609,0.005742233154911998,30
31,0.07806149125099182,COMPLETE,0:00:15.644293,0.0031842600911149888,18
32,2.091485023498535,PRUNED,0:00:03.571629,7.951980005889488e-05,24
33,0.07232781499624252,COMPLETE,0:00:17.390659,0.005986316402277283,16
34,0.06912285089492798,COMPLETE,0:00:31.243820,0.0014185627106799998,8
35,0.12210201472043991,PRUNED,0:00:02.978333,0.0010529099724687807,30
36,1.8624564409255981,PRUNED,0:00:01.026714,0.00024610795938155767,125
37,2.3027684688568115,PRUNED,0:00:09.507919,1.8375519264500782e-05,8
38,0.074058897793293,COMPLETE,0:00:09.070175,0.0016403909682131755,35
39,0.12002595514059067,PRUNED,0:00:05.709660,0.002706348092236684,14
40,0.908285915851593,PRUNED,0:00:01.698099,0.0005013951957023422,60
41,0.19677051901817322,PRUNED,0:00:03.856889,0.006090550989847007,22
42,0.125714972615242,PRUNED,0:00:03.556533,0.003101423865662031,27
43,0.07994602620601654,COMPLETE,0:00:16.546830,0.004580010375548114,17
44,0.07399775087833405,COMPLETE,0:00:31.369230,0.001379678431362153,8
45,0.2806355953216553,PRUNED,0:00:01.224671,0.006908934159350343,97
46,0.07715360075235367,COMPLETE,0:00:21.469276,0.0021600254315637924,12
47,0.276856392621994,PRUNED,0:00:04.273619,0.0007791311493756203,21
48,3.62888240814209,PRUNED,0:00:04.881204,5.577351105625201e-06,17
49,0.23168638348579407,PRUNED,0:00:02.012276,0.008010687018623446,49
50,0.12372255325317383,PRUNED,0:00:05.401127,0.0032672973960555895,27
51,0.07145857810974121,COMPLETE,0:00:20.148936,0.005413185794721555,13
52,0.32685402035713196,PRUNED,0:00:06.357327,0.0038729524701342,12
53,0.12541793286800385,PRUNED,0:00:04.449822,0.00215106218335837,20
54,0.24811951816082,PRUNED,0:00:09.239755,0.009586181618710738,8
55,0.18411797285079956,PRUNED,0:00:02.746950,0.004973912287132262,33
56,0.13595488667488098,PRUNED,0:00:06.202554,0.0014477759814848217,13
57,0.06844016164541245,COMPLETE,0:00:12.144442,0.00219019332229258,24
58,0.3538798689842224,PRUNED,0:00:03.604066,0.0003416654678083667,24
59,0.34325891733169556,PRUNED,0:00:02.412260,0.0006173695635848408,39
60,3.3411715030670166,PRUNED,0:00:01.345084,5.377728972410256e-05,83
61,0.17929042875766754,PRUNED,0:00:04.409777,0.0022018382318293784,19
62,0.11532007902860641,PRUNED,0:00:06.605793,0.0037669845581338956,12
63,0.22506126761436462,PRUNED,0:00:03.154519,0.001097252140859926,28
64,0.21110980212688446,PRUNED,0:00:04.879363,0.006973131888766623,17
65,0.07268901914358139,COMPLETE,0:00:12.213046,0.0027199812672396746,24
66,0.2597673535346985,PRUNED,0:00:07.107013,0.0047685189456144654,11
67,0.1887180507183075,PRUNED,0:00:05.352477,0.0017066533741597007,15
68,2.5399742126464844,PRUNED,0:00:01.169523,0.00016307263270918222,104
69,0.15275153517723083,PRUNED,0:00:04.192293,0.008114799525850062,20
70,0.22255589067935944,PRUNED,0:00:09.482260,0.0008753423446658303,8
71,0.11607169359922409,PRUNED,0:00:05.127234,0.005767615957605361,16
72,0.07330378144979477,COMPLETE,0:00:21.682693,0.005849770455226828,12
73,0.2376624196767807,PRUNED,0:00:02.901041,0.003725164969933771,31
74,0.1481911689043045,PRUNED,0:00:03.721471,0.002469597085391052,23
75,0.15252916514873505,PRUNED,0:00:05.385471,0.007818234279164669,16
76,0.2994658946990967,PRUNED,0:00:04.442632,0.0011825740237280398,19
77,0.3059849739074707,PRUNED,0:00:01.594529,0.0017583296706780397,66
78,0.11881700903177261,PRUNED,0:00:11.778464,0.004457973619437273,11
79,0.31647437810897827,PRUNED,0:00:02.618196,0.00981405224197932,35
80,0.13129979372024536,PRUNED,0:00:03.452324,0.002991605488345115,25
81,0.12592026591300964,PRUNED,0:00:03.736566,0.0023462017155610974,23
82,0.1320497691631317,PRUNED,0:00:05.895069,0.0026756301207011847,14
83,0.07412131130695343,COMPLETE,0:00:10.781395,0.006527811532045595,27
84,0.1081550195813179,PRUNED,0:00:07.767628,0.004608103689280671,10
85,0.15093863010406494,PRUNED,0:00:02.243345,0.0033639456218276993,42
