trial_number,value,state,duration,lr,batch_size
0,0.014785365026132143,COMPLETE,0:00:18.214516,0.0909117198359631,32
1,0.004431152307136397,COMPLETE,0:00:08.854580,0.0007735181439419189,203
2,0.00553610201351961,COMPLETE,0:00:09.740016,0.047636699268238505,131
3,0.023520782680772824,COMPLETE,0:00:07.976742,2.8690371045740244e-06,223
4,0.004432437649910085,COMPLETE,0:01:11.633741,0.0003045593763016535,5
5,0.0035458193564793334,COMPLETE,0:00:23.321404,0.02475173392797615,21
6,3.6695173617928067,PRUNED,0:00:15.517291,1.914346202310104e-06,25
7,0.002989684992531649,COMPLETE,0:00:11.973717,0.011926166725084288,66
8,0.006353519589400561,COMPLETE,0:00:06.954363,0.0010212816890099328,247
9,0.006691992059125534,COMPLETE,0:00:07.557530,0.0005567561976227303,236
10,0.02352359463754494,COMPLETE,0:00:08.037053,3.834480969538574e-06,179
11,0.002827988012196906,COMPLETE,0:00:09.040360,0.006818756511634806,109
12,3.768326123103951,PRUNED,0:00:02.996992,5.518339319065333e-06,11
13,3.8177812968459084,PRUNED,0:00:00.439086,3.749798364686594e-06,164
14,0.0034327386489747106,COMPLETE,0:00:08.431341,0.01626568528829626,147
15,0.00398981048617791,COMPLETE,0:00:07.480664,0.0030809968173022098,219
16,3.723769434523771,PRUNED,0:00:01.033063,3.680284581672649e-05,46
17,0.004598830948611233,COMPLETE,0:00:10.245113,0.015770328039607408,69
18,0.0028466350685053803,COMPLETE,0:00:10.340098,0.005684454454204125,79
19,0.0031036557393938975,COMPLETE,0:00:10.126074,0.008253056067577513,83
20,0.0032010979654960394,COMPLETE,0:00:10.273998,0.008288416522929979,76
21,0.002806629506219009,COMPLETE,0:00:10.317760,0.0058329144773508436,80
22,0.0030177659368342815,COMPLETE,0:00:10.430743,0.00983673102417542,81
23,0.0033617330641013076,COMPLETE,0:00:10.144031,0.004827283429908346,86
24,0.5171311293002013,PRUNED,0:00:01.080522,0.0034267235340147096,96
25,3.6361643148928273,PRUNED,0:00:00.608548,0.00012189060706176043,89
26,3.639876285352205,PRUNED,0:00:00.618064,0.00012366072477471859,92
27,1.8751261124581646,PRUNED,0:00:00.561335,0.0038877501303998183,107
28,2.002969995822782,PRUNED,0:00:00.502120,0.0035081511357366174,114
29,2.013896415046617,PRUNED,0:00:00.539513,0.003452818293090657,114
30,1.640771875208294,PRUNED,0:00:00.879226,0.0024443097377990696,59
31,1.9076904336736782,PRUNED,0:00:00.901959,0.0015446273945129948,55
32,0.2820095719417205,PRUNED,0:00:03.991929,0.009757036442628294,59
33,0.002994066495253286,COMPLETE,0:00:11.743365,0.010227563749744853,62
34,0.3519634892317382,PRUNED,0:00:01.309982,0.03982045627102555,133
35,3.563135909311699,PRUNED,0:00:00.490478,0.0002432195671746067,132
36,0.4191152137969065,PRUNED,0:00:01.957860,0.06692839944401727,40
37,2.61163722162012,PRUNED,0:00:01.083920,0.09308291532279685,39
38,0.0037385259331756296,COMPLETE,0:00:10.074546,0.009027150738883495,78
39,0.003807526432056749,COMPLETE,0:00:11.143877,0.00790395919811491,67
40,0.002994864556066172,COMPLETE,0:00:10.487155,0.008329565057312685,66
41,0.003645131366862877,COMPLETE,0:00:09.374451,0.030900038805613487,108
42,0.00392010261149966,COMPLETE,0:00:09.155160,0.029933839086333732,111
43,0.0036836127595125012,COMPLETE,0:00:09.112187,0.03135053953635457,104
44,0.31596333647798175,PRUNED,0:00:01.523638,0.03075084788766542,107
45,0.00316435717059151,COMPLETE,0:00:09.283558,0.030985050425505683,102
46,2.7680429719452166,PRUNED,0:00:00.479329,0.0013041627540770226,150
47,1.4403222564346922,PRUNED,0:00:01.536951,0.0012463728272094313,26
48,2.1623322954683593,PRUNED,0:00:00.730239,0.0013603929386623867,66
49,1.9376564385197688,PRUNED,0:00:00.803934,0.0017150379828376199,62
50,2.0774770312618696,PRUNED,0:00:01.427233,0.0006090205887944467,29
51,2.2307991698245884,PRUNED,0:00:01.548376,0.0004616932010766966,27
52,2.633475887976336,PRUNED,0:00:00.865926,0.0004602603280789321,49
53,2.0772045208515957,PRUNED,0:00:01.546566,0.0005602424242381218,26
54,1.9929426041516392,PRUNED,0:00:01.713369,0.0005123077237848399,22
55,2.47599104580472,PRUNED,0:00:00.959697,0.0005877971303834452,48
56,0.37518779422853377,PRUNED,0:00:00.935705,0.01787597284675015,122
57,0.1642215245809968,PRUNED,0:00:14.045747,0.019531383072348505,10
58,0.3502384958775727,PRUNED,0:00:01.002434,0.01585855812534147,122
59,0.003892433287009274,COMPLETE,0:00:10.528228,0.016279640417873574,74
60,0.004033095308040153,COMPLETE,0:00:10.510314,0.01854424322666568,73
61,1.3526098594322042,PRUNED,0:00:00.630037,0.005554889288599647,74
62,1.5899400219812498,PRUNED,0:00:00.567702,0.005622572038400879,96
63,0.3962555079044444,PRUNED,0:00:15.317361,0.016414221783861184,4
64,2.1773835881189867,PRUNED,0:00:00.384412,0.005494707622584146,199
65,3.5624737114270073,PRUNED,0:00:06.768751,1.1215760636462107e-05,5
66,0.16738918112698664,PRUNED,0:00:12.018757,0.018827875724901258,12
67,3.4748206528312466,PRUNED,0:00:08.135370,1.1911765121942359e-05,4
68,0.30120061596794306,PRUNED,0:00:01.793610,0.012082433817293098,82
69,2.011646465848132,PRUNED,0:00:00.583745,0.0023069499645099896,85
70,0.28111525110619834,PRUNED,0:00:02.013981,0.013513398545509724,73
71,1.4085958140461068,PRUNED,0:00:00.558099,0.007042807722430832,92
72,1.4155270180074118,PRUNED,0:00:00.553385,0.006882637519650452,94
73,0.36586328010641816,PRUNED,0:00:01.593401,0.06279886599663692,55
74,0.0026332509953589747,COMPLETE,0:00:12.118605,0.011912455309948495,55
75,1.3640291964925757,PRUNED,0:00:01.077660,0.0022403462422254856,40
76,1.3244823907766867,PRUNED,0:00:01.056644,0.0027519027777860587,40
77,0.451832910378774,PRUNED,0:00:01.242882,0.04879390811744178,81
