trial_number,value,state,duration,lr,batch_size,layer1_size,layer2_size,layer3_size,lambda1_metaweight
0,0.00390773409313295,COMPLETE,0:01:25.246386,0.005601076301918448,6,46,38,45,0.5296538395021666
1,0.023231551528435326,COMPLETE,0:00:07.885425,7.1999873755072086e-06,212,29,28,34,1.494645554073442
2,0.01014898309768886,COMPLETE,0:00:09.200421,5.738733968162517e-05,176,45,20,32,0.673467113339009
3,0.02282662095031474,COMPLETE,0:00:12.461332,5.563555671104421e-06,80,49,55,27,1.362022051510435
4,0.013602941406265145,COMPLETE,0:00:09.854759,7.376678859940493e-05,215,32,44,32,0.9000720998963475
5,0.00907430229539463,COMPLETE,0:00:11.079688,5.186695656391064e-05,96,46,35,56,0.9773308271177162
6,0.004994391319839614,COMPLETE,0:01:27.201660,0.002266513701952785,6,39,28,28,0.9700107627206942
7,0.0052697572368977106,COMPLETE,0:00:09.169550,0.001206464799934472,129,25,39,45,1.2388480381519358
8,0.007436437894248424,COMPLETE,0:00:09.688781,0.00014374107522104854,163,39,59,46,1.1018529578480774
9,0.005569213910950536,COMPLETE,0:00:10.280381,0.0009928617203827064,95,60,50,30,1.4033955427404654
10,0.005002051361913266,COMPLETE,0:00:38.752554,0.0004221246301740269,14,26,47,53,1.2477773355775825
11,0.005147765288529553,COMPLETE,0:00:13.376819,0.0004994318634354227,63,31,28,21,0.8942003819978986
12,0.005103392271932243,COMPLETE,0:00:08.195665,0.007391871765075972,148,56,34,41,1.0957501482630074
13,0.005943893520897183,COMPLETE,0:00:11.917458,0.0002646435764500232,77,47,24,33,1.2112276764290228
14,1.7888835430145265,PRUNED,0:00:00.195368,1.700676759844688e-06,164,50,32,47,1.3330928718736101
15,1.7853327920471413,PRUNED,0:00:00.261376,1.3667335132464692e-05,94,55,44,50,0.5664816926753456
16,1.781532918965375,PRUNED,0:00:00.155744,8.06873061856298e-05,242,24,57,35,1.4899475575999137
17,0.0037272499691371405,COMPLETE,0:01:58.300710,0.0034234759801000793,4,22,49,21,1.1508686637787182
18,0.004575340232479343,COMPLETE,0:01:09.854891,0.005577159182545119,7,58,38,20,1.1542770261839335
19,1.1569480137712151,PRUNED,0:00:08.067446,0.0339085607339657,19,20,38,20,1.1575932242846814
20,0.007578506113910914,COMPLETE,0:00:25.442040,0.041440694063109164,24,37,24,20,0.778313917768288
21,3.9008975540789987,PRUNED,0:00:27.373755,0.022959915981610676,4,36,30,22,0.8220958575622433
22,1.1514530746560347,PRUNED,0:00:10.251806,0.016305946788239007,26,37,29,40,0.818854618988163
23,0.004680066190523029,COMPLETE,0:00:14.969994,0.004256310721139851,47,33,25,21,0.8053636058842385
24,0.004607895315499284,COMPLETE,0:00:09.030432,0.0030437523053194024,127,60,49,58,1.0619294000852606
25,0.005108513674422546,COMPLETE,0:00:08.242004,0.004855633209736597,139,60,48,58,1.0643712836071133
